,CBU_RDVar,CBU_RDSkew,CBU_RDKurt,CBU_DR
2013-03-05,0.00013287763536010093,0.41736694680437825,4.054805514634989,
2013-03-06,5.5565644021387706e-05,0.8285459663132412,3.3821582587440173,0.007575586166125969
2013-03-07,8.397886663045551e-05,-0.11447751294796078,4.1695779312780425,0.004791216641033991
2013-03-08,0.0001304721971614126,-0.5834484094188195,6.6979634876110214,-0.0017084021033735297
2013-03-11,8.688733867733807e-05,-0.5367600099715957,3.6087764826145388,-0.005143154157122076
2013-03-12,8.058507178519197e-05,0.6102557414359232,3.3796118884032467,0.0003435222962617779
2013-03-13,7.288205059177515e-05,0.30631496015257875,3.1916548769960613,0.011381766450437425
2013-03-14,4.95484985383427e-05,1.5541434671424441,7.007429127162893,0.011930842006916631
2013-03-15,7.243529150527197e-05,-0.02561010361099049,3.552215520517796,0.006418000046624073
2013-03-18,9.016515913312554e-05,0.5276865120471417,4.813449450701805,-0.00540166579037038
2013-03-19,0.00012820494317326844,0.3276289987468838,3.1519369109370334,0.008427607085429223
2013-03-20,6.902849079602591e-05,0.22224103467928527,3.9793991267041675,0.004354236782684318
2013-03-21,0.00010269569692728588,-0.5017662909538801,4.456715894382162,-0.011090496274996475
2013-03-22,0.00012341825636692856,0.5697493314987446,8.476358256721928,0.0016882545795624537
2013-03-25,0.0001345337468229324,0.44823632586172535,3.4180321141593843,0.0026953874988695503
2013-03-26,9.51927754246928e-05,0.6122943945851105,3.211847711308698,0.005369116295820486
2013-03-27,7.02354498861629e-05,0.32692086288867594,4.47863955623333,-0.00840195840683755
2013-03-28,0.00011310108460390613,-0.8111854449195508,4.133894610272301,0.0
2013-04-01,0.0002104128558468799,-0.4754772141858395,3.311007505495185,-0.014618698599869084
2013-04-02,0.00011928109254741657,-0.745091031020907,3.60234118728982,-0.007217903178559748
2013-04-03,0.00021368225553964397,-0.9392578677460085,3.6509819766997516,-0.013893650510743871
2013-04-04,0.0001250218379145741,0.3841904786973242,4.470158609876359,0.014928043918125855
2013-04-05,0.00010438963498716286,-0.2657245525892457,4.884942202689648,-0.0003445846883063375
2013-04-08,7.822995250851602e-05,-0.6519344333303039,6.151575943098422,0.008922557752518934
2013-04-09,8.160761074723846e-05,-1.1369510503489546,6.471797434563717,-0.004451427928084506
2013-04-10,0.00012300609592089535,-0.24833965150128376,4.985581370619943,0.016000214335882834
2013-04-11,7.361974780067968e-05,-3.384571286595009,19.659323578390616,-0.014628488103074044
2013-04-12,9.830269618355752e-05,0.2662750077558564,3.5222949583650927,-0.006187680735531664
2013-04-15,0.0002358862327167042,-0.670821397746672,2.758492870347555,-0.03188212082159447
2013-04-16,0.00014655723011005204,0.9649620759343331,4.810272142315216,0.013437143490454329
2013-04-17,0.0002151008628528101,0.008817676374266616,3.0018212604177177,-0.012014053961072246
2013-04-18,0.00018844573818089136,0.10501093934214585,2.914627434137031,0.0014208592535389641
2013-04-19,0.00012844279680538167,0.10314321938676181,4.717106943839312,0.009538807706022556
2013-04-22,0.00021043586437639647,-0.09037983476341681,4.3730893435958675,-0.0014074434043109818
2013-04-23,0.0002615805005351586,-2.218990974561988,16.032707346215897,0.020217084482636594
2013-04-24,0.00036969057873092944,-0.6619630312089423,4.511180356768856,-0.007273099896948576
2013-04-25,0.00014623445630675364,0.27095752351656877,6.267908039963128,-0.000695402259792921
2013-04-26,0.0001541883434778705,-1.9097776231540982,11.437118986099895,-0.006280436938527867
2013-04-29,5.67654729471442e-05,0.588430820882247,4.3457376164641754,0.006628463330680123
2013-04-30,9.509932260678947e-05,-0.794810862990169,4.979199063335485,-0.004181263820440595
2013-05-01,0.00022948175589842309,-0.26108300903067866,2.614875530493945,-0.035540510390740465
2013-05-02,0.00014545924836751977,2.0887930938032486,8.445424542870356,0.015081027189284946
2013-05-03,0.00012240117105464453,0.667530447872189,3.8461824901721204,0.016260745147222977
2013-05-06,0.00017067772320137383,1.0269247557452357,7.607726651897809,0.007684357922899121
2013-05-07,0.00013970983070691524,-0.2724566209175234,6.1571587601596285,0.023724582601893474
2013-05-08,0.000103042199637766,-0.11167120517199723,3.095380082744549,-0.005793198411399025
2013-05-09,0.00015881106795649587,-0.18963061225313352,3.3417036179305284,-0.010305908827116905
2013-05-10,0.00015235197836778176,-0.3006691247514236,5.680572477582637,0.005853076233330867
2013-05-13,0.00029323557014819226,-0.37371144965943515,2.9107793180974006,0.00034324587670298
2013-05-14,0.00016524982809550373,-0.08669619094195473,6.366764917193157,0.0071806415380768485
2013-05-15,0.00012566476150490188,-0.14069007411943144,3.1211869224847018,0.0
2013-05-16,0.0001823566081779105,0.16780100863808833,4.952522836130911,0.0003409129110703013
2013-05-17,9.12391097745684e-05,0.37482086235154866,2.9223652937086424,0.009154108785771609
2013-05-20,0.0001896971738544269,0.11375051629782891,3.811482825972122,0.0033692749988949444
2013-05-21,4.480136326053617e-05,-0.1092775457106225,3.1925164669249253,-0.0023573711105235873
2013-05-22,0.0004532139571153633,-0.699965908138471,3.142561095376875,-0.01734447921946991
2013-05-23,0.0004000422136971852,-0.7194684693633376,4.160775303394223,-0.0010295768044574771
2013-05-24,0.00010852039113072903,0.026273918365416385,2.7103185122313773,0.01092910114728518
