,TREX_RDVar,TREX_RDSkew,TREX_RDKurt,TREX_DR
2013-03-05,0.00021051178204866175,0.24229797407439457,3.6283974622890165,
2013-03-06,0.0002923861474216134,-0.9226027059267348,3.565104549187889,-0.0007909828373646732
2013-03-07,0.00024303246190590652,-0.5682467883814516,4.222334613712358,-0.007944391178177579
2013-03-08,8.84783119178177e-05,-0.43623818362181305,6.1406981177430096,0.014844408560904743
2013-03-11,0.00017591873115728926,-0.3576581120910961,4.730106675580474,-0.008880216049589329
2013-03-12,0.00021955687588597552,-1.113667943152337,7.91632762685543,-0.007360980071673406
2013-03-13,0.00033435461664588526,0.13660868522845654,3.028785836674787,0.005178222979225211
2013-03-14,0.00017679876462777802,-0.19009870269808388,4.89237312311985,0.007914603880598836
2013-03-15,0.00013698889863349202,-1.2491908455553034,5.177655253838561,-0.021112155962545565
2013-03-18,0.0003105373270361234,1.513750871591153,12.814453094152904,-0.002620176849226219
2013-03-19,0.00039791231409619035,0.4621569339211886,4.4509236240140995,0.008240424481380071
2013-03-20,0.00018477042648875212,1.1546937761598304,5.766983731183453,0.017854074736596726
2013-03-21,0.00039403010136942785,0.21697992910651362,2.6039447817436154,-0.012265198025114277
2013-03-22,0.0002275329879302038,-0.716772363535574,5.337346846282711,0.011675208836793516
2013-03-25,0.00010044286762669415,0.35546734782176803,2.667492275963745,0.01173488898117192
2013-03-26,0.0002993235695087774,-2.158811826397331,11.489636158617891,-0.036230866378524684
2013-03-27,0.0004931945624541047,0.49701157471304247,5.850386120252813,-0.005661115112156612
2013-03-28,0.00033683198844280276,-0.33357393455135426,3.156613194573986,-0.002842641508097099
2013-04-01,0.00031126396160052874,-1.8089664601473774,8.55922115152926,-0.02386944599493912
2013-04-02,0.0001948986544312433,-1.168273839560495,5.91741680907381,-0.00041657988521626166
2013-04-03,0.00047587158557147835,-0.11137754239164835,3.666201498373348,-0.032609283565627756
2013-04-04,0.0003415911982816584,0.21635234597781922,3.425615049812016,0.006008644558349374
2013-04-05,0.00043018953680450616,0.41996698997820975,3.7099422353094735,0.01570819784085442
2013-04-08,0.0001870933142792641,0.4412695974571407,3.0928894395388697,0.021255228201970233
2013-04-09,0.00018678445881297926,-0.7295314314526713,4.725245669506587,-0.00371824431687795
2013-04-10,0.0002120249855679527,1.023086399625778,5.627111776668357,0.016420689495714402
2013-04-11,0.0004114165509733437,0.4638496976855111,2.9248164574291127,-0.00571659387976986
2013-04-12,0.0002191068097783497,0.9236156781842731,6.167540042401681,0.013423020332140823
2013-04-15,0.0006779660054791894,-1.2345282141255196,4.444712919390773,-0.07333127308554976
