,STMP_RDVar,STMP_RDSkew,STMP_RDKurt,STMP_DR
2013-03-05,0.00021150498476524496,-0.21009191196260935,2.5965099553367876,
2013-03-06,0.0004588107198677354,0.3276981559006101,3.656195163556304,0.017804664553667138
2013-03-07,0.00023525714744544293,1.337356437381169,7.755737922041318,0.007812578647298896
2013-03-08,0.0003603570291493881,-1.0564211068986458,4.974880486227376,0.002331870424473692
2013-03-11,0.00032175557308564015,-0.5651806325438922,2.9381930616535192,-0.019204979836050295
2013-03-12,0.0005375481451689551,0.3768243927977871,3.817039709313266,-0.007547205635382692
2013-03-13,0.00029483465334168913,-0.6015088817146388,4.869454503246421,-0.003995211067288285
2013-03-14,0.00022129523803200688,0.47204850255909453,3.831114095366162,0.01627985163356982
2013-03-15,0.00033026870954477617,0.05929529178640008,3.7244122945907714,-0.0035510001232195165
2013-03-18,0.00027315245757241976,0.3032324082088639,3.6954432788842952,0.0011851078058020548
2013-03-19,0.0008825440373900354,0.6190053339352933,5.1730426149958815,-0.01832716598918438
2013-03-20,0.0003680024724086287,0.6650891964173259,3.703043264415014,0.008408417740320306
2013-03-21,0.00018176409406770767,1.1485275418278849,8.121531651313123,-0.011227102916365084
2013-03-22,0.00029616683346867374,-0.07041079687548862,3.7815490138568957,0.00803221201984572
2013-03-25,0.00019346143595450863,-1.35589752056333,6.268024757596995,-0.00080032017076892
2013-03-26,7.623876008954467e-05,0.9688662672087173,5.060923192992666,0.004393855680899339
2013-03-27,0.0001424838210532938,-1.3642756846982258,11.920351580442262,-0.0031936154888030366
2013-03-28,8.125947608171374e-05,0.27535372517927953,3.186915402657611,-0.001600680645904351
2013-04-01,0.0002576363532787268,-0.10961896139032958,4.094819025696181,-0.0012020838955031365
2013-04-02,0.0002163771650608962,0.1675305744065621,3.224085060389781,0.0016025243493111851
2013-04-03,0.00056220827001103,-0.04647344055190068,4.852315922494032,0.0035964074727705686
2013-04-04,0.000164734491073817,-0.4312042824503348,3.4271989695679284,-0.005198931822081754
2013-04-05,0.00022434789172840123,-0.2352874431753064,3.658136685667429,-0.008051613383778466
2013-04-08,0.0002205742186204202,-0.13974534078816503,2.382472264032792,-0.0012133874332698191
2013-04-09,0.00019011884752913704,0.2840076966615547,2.271060318732105,0.0016175094836272663
2013-04-10,0.00023544087203737561,0.4324592797345927,6.481116604296881,0.010050335853501124
2013-04-11,7.93634883585972e-05,1.0141092627651667,6.690160570833486,-0.0012007606245769686
2013-04-12,8.25524087834428e-05,0.9682360031072351,7.4582678877776125,0.0012007606245769686
2013-04-15,0.0005032542247044083,-0.4561273349867226,2.8448562446622367,-0.02881104068491469
2013-04-16,0.00015432247229966284,-0.7150003534936173,5.129767682946879,-0.0024732493548516032
2013-04-17,0.00019092044051438755,-0.8619137590583518,3.293919088246312,-0.008704718176596682
2013-04-18,0.00033593686129025586,-0.4407878311287452,5.762417121851756,-0.01806392323225392
2013-04-19,0.000202791777033113,-0.5483954808272482,5.937429714561143,0.0
2013-04-22,0.0001975033210707859,-0.6964066554189204,5.5686067511269055,-0.005099926164236379
2013-04-23,0.00021777069854193444,0.6493040553072312,7.893864129959956,0.01815549168211783
2013-04-24,0.001433247312681493,1.5125827006509822,10.020996894846412,0.07144453594558398
2013-04-25,0.003970089277632132,2.766386877664707,12.923889281663643,0.23960257165377907
2013-04-26,0.0017600264903918437,-0.4245466972110736,10.24750253047218,0.015815415286573042
2013-04-29,0.0008515317970083585,0.44939254216715974,6.995737773030185,-0.0036275433314192362
2013-04-30,0.00035798955191717257,1.0323235689867705,10.015453287485538,0.024530096246040856
2013-05-01,0.0004019771304076523,0.01743761245570208,3.0978618346141595,-0.004442507001960028
