,PDCE_RDVar,PDCE_RDSkew,PDCE_RDKurt,PDCE_DR
2013-03-05,0.00036899544480617,0.510590662677578,4.2217339284019895,
2013-03-06,0.0003853296459213289,-0.449218685736895,4.028538365579899,-0.007401915998376918
2013-03-07,0.0007481947138317704,2.1037092468656637,9.228520382756642,0.05351963928444192
2013-03-08,0.00037684126878769554,-0.6656987465078182,5.7839478437389085,0.015175970171926956
2013-03-11,0.00027550981254825243,0.8619290971085232,4.596272360122867,0.019818209698222233
2013-03-12,0.0004418889198163035,0.10266451364294303,6.281150396688099,0.010052297771103724
2013-03-13,0.00046066222297438925,-0.5700215218193693,5.703039870312013,0.004605611583647029
2013-03-14,0.0004809826442692244,1.7238207100904923,6.877645780830485,0.018401372696383866
2013-03-15,0.0007981042352159269,0.12205542548381408,2.861137030066967,-0.007547243371769152
2013-03-18,0.0005886414976565132,1.3368527647962274,6.453763572069995,-0.014114252997797117
2013-03-19,0.0009699200570630744,-0.2716120165856307,2.7600929693368164,-0.030819700542067174
2013-03-20,0.0004829345134079457,-1.2334763159284496,13.187795312822391,0.019033263483446916
2013-03-21,0.0004413831576900215,-0.6050088479337797,4.572169022925266,-0.029988457203886654
2013-03-22,0.00032860141245914673,0.013692332903768612,2.6355114031893483,-0.012495103996621015
2013-03-25,0.00048610101924607843,-1.3725602542111,6.149538475080967,-0.006306622405270357
2013-03-26,0.0005569705267715206,2.2075808035289812,14.051089703235716,0.017599301395268885
2013-03-27,0.0002639834976739782,0.2355399849662113,3.469818551894828,-0.002811226779248166
2013-03-28,0.000287455257351601,-1.228530843585127,6.127821550889771,-0.003222560694164489
2013-04-01,0.00048422139881626616,-1.1290755142168611,5.723585943902894,-0.00485335624355665
2013-04-02,0.0005418488017364623,0.4456508288396702,4.673688762703943,0.003642173188525444
2013-04-03,0.0007280708795183784,0.13630008701066043,4.314184503062785,-0.03076534809259135
2013-04-04,0.004676846777341781,-2.9792339572250706,17.739127654443088,-0.04472632262372933
2013-04-05,0.0011234044463726322,0.2713329123807488,3.3693457354168164,0.017061227826996817
2013-04-08,0.0006333009162210037,-1.1353247780713978,6.174617107494969,-0.0008569194948435666
