,JBT_RDVar,JBT_RDSkew,JBT_RDKurt,JBT_DR
2013-03-05,0.00018115867372464297,-0.006425008594627271,2.1047660118880125,
2013-03-06,0.00014957406330278535,0.943231663294345,8.013650793716312,0.010764401483561947
2013-03-07,0.0005854265865450454,2.039370036458905,8.097695744504923,0.07103253423894973
2013-03-08,0.00027397472434634453,0.26390935290151246,5.814183804424872,0.04022130017179926
2013-03-11,0.0002660510914521359,-1.3272173874553732,6.237725716382018,-0.011605610461129956
2013-03-12,0.00012019097663193387,-0.1066498264591381,5.2345432625831885,-0.00781254930796571
2013-03-13,0.00011303507579956659,0.11342989843347794,4.093496608409901,0.01556438417299244
2013-03-14,0.00024674603765890665,3.3136043632902985,21.642676137722265,0.0076925062647372755
2013-03-15,6.902303490435509e-05,1.5827671378961428,8.780203281484864,0.015681092029653954
2013-03-18,0.0005296938452597055,1.8864790326954441,13.238674410609487,-0.013289371907090786
2013-03-19,0.00028590298977197097,-1.0312461047067136,7.1242368471678565,-0.01589229680390236
2013-03-20,0.00016788267912177284,0.07910547217975404,6.369015226386603,0.006773146972316457
2013-03-21,0.00011437957336014941,-0.648059240243903,4.598023573539237,-0.009690237764172771
2013-03-22,6.22582927403053e-05,0.5191241746910252,3.5574515265257998,0.002917090791856314
2013-03-25,0.00017819110094815675,-0.2397417310603946,4.265166564968653,0.0
2013-03-26,9.401412736057196e-05,-1.078755560470346,6.433313011332833,0.005808070416601918
2013-03-27,0.00015987803388511421,-0.12454061251625151,3.417262841985,-0.005322681035577315
2013-03-28,0.00010266019251718222,-1.1474563834449543,5.9247385009902125,0.006769871257047644
2013-04-01,0.00017809080088388246,-0.0027891734497065917,3.146231382870673,-0.0024128960318847703
2013-04-02,9.48697497043668e-05,-0.6347801009391976,4.277435795232516,-0.0004829754777349038
2013-04-03,0.0001832796009120719,-0.3670870911117095,4.255822968895896,-0.006789876378682003
2013-04-04,0.00014654506774296238,-1.0141322368347894,7.555730548170447,-0.0019481932752785092
2013-04-05,0.00019926725386658115,0.46566752138648565,4.525998731384683,-0.005868020595205525
