,GBCI_RDVar,GBCI_RDSkew,GBCI_RDKurt,GBCI_DR
2013-03-05,0.00019620561793843783,-0.40640088351765663,3.182632489215178,
2013-03-06,0.00014385106875414202,0.019038780824172277,2.5806165918133477,0.00852016897124086
2013-03-07,0.00014337266240103987,1.1513779297946931,5.371774898116048,0.015156207003771627
2013-03-08,0.0002347875330928933,-0.7165276754332777,4.679969969151021,0.001669796738183127
2013-03-11,7.606567636210174e-05,1.0308325241501868,4.7843259014291935,0.007204181141652111
2013-03-12,6.475562428409864e-05,-0.015558287293420821,4.4384688318306065,-0.007204181141652111
2013-03-13,0.00010951337723665665,-0.06438246007121398,10.655030158598516,0.010512089090130239
2013-03-14,0.00011324306140104943,1.3718917907683652,6.86116985024086,0.016375483047351036
2013-03-15,0.00029930889740863794,-3.347583196155899,24.21430648259648,0.012910218513962679
2013-03-18,0.00016471053410971472,0.1957688757808611,5.737495002136481,-0.010746474785872095
2013-03-19,0.00013570239488201345,-0.3588262636582468,4.328017143124656,-0.0021637437280905836
2013-03-20,8.318635975436035e-05,0.1094230409168619,4.008920453775167,0.007013921609845486
2013-03-21,0.00011228766359810881,-0.07737882071855683,3.0606777361209754,-0.009181639986445056
2013-03-22,8.915074248043934e-05,0.7961641866134285,3.0245006148332254,0.01025640634696856
2013-03-25,0.0001276812687404909,-0.4675717578831689,3.0679657441357846,0.0058901742748553865
2013-03-26,0.00019171085387640097,1.2965068065968581,7.033591480496984,0.01114949121557851
2013-03-27,8.254007457926825e-05,-0.3483506846122839,4.680441005332346,-0.004762966709136673
2013-03-28,6.115460370452112e-05,0.8906472358579103,5.061331310354548,0.006872629942744624
2013-04-01,0.00018709034035489566,-0.8550479182247195,3.8085883419627633,-0.019686470647460208
2013-04-02,0.0001459972005253605,-0.47789160732506086,2.649010522592818,-0.00755154604695063
2013-04-03,0.00022368620321552688,-1.9475427462340356,10.0535137953356,-0.016375483047351036
2013-04-04,0.00015409563983235082,0.3649751413958476,3.802561456625016,-0.0011015309811956975
2013-04-05,0.0001859306278897146,0.6130351267779484,3.6220133918167634,-0.0011113630902745975
2013-04-08,0.00013333352784145522,-0.20166447605007132,5.443382788330962,0.008303595807726882
2013-04-09,7.409959434387991e-05,-0.4215770456877231,3.1596112579379567,-0.003313116193423671
2013-04-10,0.0001312371873979699,0.5249825271345023,2.3118287676732914,0.01917354713057362
