,COLB_RDVar,COLB_RDSkew,COLB_RDKurt,COLB_DR
2013-03-05,0.00026064059216306617,1.8837772227884673,8.950462212849121,
2013-03-06,9.074765503405688e-05,-0.41582995382102966,3.353095003221137,0.004410655994670609
2013-03-07,0.00011900979285071713,1.3869624076778653,5.05895235947703,0.012633567752927899
2013-03-08,0.00022119312411518371,-0.27188496253784855,3.3504051098982375,-0.0014493978448144595
2013-03-11,7.846044889009012e-05,0.5800368493544826,5.168712776589721,-0.007280088663353279
2013-03-12,8.940952491106402e-05,-0.1482123038324934,2.8316020305070246,-0.0039040812447601603
2013-03-13,9.791802783452674e-05,0.0829959569356223,4.184828261205713,0.010700154300967046
2013-03-14,7.9140882093308e-05,0.037624105599489775,2.850592094005893,0.01821740537390859
2013-03-15,5.8356689012626185e-05,-0.21477829193894404,4.418788373468713,0.007572220399455265
2013-03-18,0.00025984769394312807,1.9885090948799025,15.47094953891115,-0.018558775224026824
2013-03-19,0.00018630418858163903,0.6738805135637496,3.1296057358344007,0.019501204641030334
2013-03-20,7.713230050394634e-05,-0.09982735434715778,3.224137377725474,0.005167913001770774
2013-03-21,0.0001076274585246417,0.12177410603975561,3.047700076185883,-0.005639069515384509
2013-03-22,9.584767710108384e-05,0.03540665375907961,3.1533197299082767,0.007511732432718521
2013-03-25,0.00017092863769460837,3.3399315116832584,19.90184632451386,0.015317272006994287
2013-03-26,0.00010423677239288013,-1.2695123007578317,9.559708387966003,0.004595423356237305
2013-03-27,0.00010402903759317741,-0.10171733043891551,7.8907847089356595,0.0004584138063603582
2013-03-28,0.00011078642399702429,-0.22036655503642685,3.4971842968412035,0.007306031724752415
2013-04-01,0.00030718924338855077,1.948821901806943,11.55931808947601,-0.014665834644065345
2013-04-02,0.00011659038123090689,-0.7481539480308413,3.5925785114110167,-0.017229805961604505
2013-04-03,0.00013960679747459544,-0.9976389168704874,4.480807744495814,-0.00565224497700223
2013-04-04,0.00016825248748775326,-0.08171582560238172,5.822652870817077,0.0028301687692229294
2013-04-05,0.00013026304774983643,-0.2354759566840393,3.5368540550986243,0.0037609135715617192
2013-04-08,6.9597122153336e-05,-0.6797239829947439,5.861165347537767,-0.008009070046146594
2013-04-09,0.00010540073991027274,-0.9700877703869929,3.985422958908025,-0.0023680028223855842
2013-04-10,0.00013489980759745038,0.8829946841563124,4.805182856633146,0.011784072298741233
2013-04-11,0.0001674183454079892,0.8332307949952525,8.353323874917146,-0.0037559321113183053
2013-04-12,0.00017329157149594714,-1.3235779339052471,12.642340132762124,0.01262005172958025
2013-04-15,0.00031120239904232594,-1.3194000152391585,4.146586295892153,-0.03834780982983954
2013-04-16,0.00023922481935124672,1.2486931557900827,7.232179228574995,-0.005808622818700204
2013-04-17,0.00022077806038303183,-0.43327084821986783,3.6365375178506043,-0.015162604924924938
2013-04-18,0.0002363643477057972,-0.1251119952632218,3.5254857209285926,-0.010403777352682386
2013-04-19,0.00016503624350666036,-0.20767083960717386,4.105409974219996,0.009417610117454345
2013-04-22,0.00021047857483549352,-1.1989017614104607,6.875161157675876,0.0004929564443223455
2013-04-23,0.00017012088582871713,-0.7260729034586181,7.20818511381921,0.033457256647123845
2013-04-24,0.00022632285506718865,-0.030965031039064166,3.3516898625138625,0.008547794639356177
2013-04-25,0.00024801362169397316,-2.419286820178309,17.754963564219977,0.016877697157837268
2013-04-26,0.00014054610419076712,-1.9275195960232256,14.450665535563706,-0.007466216981479867
