,B_RDVar,B_RDSkew,B_RDKurt,B_DR
2013-03-05,0.00022854567339300325,0.9680370612499919,7.062123950598082,
2013-03-06,8.615850441251762e-05,1.3590390983098335,5.09399931578821,0.016426865554274084
2013-03-07,0.0001464145602189954,0.4780006228095383,3.8191777393960273,0.0036138612941467585
2013-03-08,8.780894042745573e-05,-1.0805019176130775,5.1376413854416585,0.003960282074317423
2013-03-11,0.0001273808953149762,1.9454463008647573,9.710062847310581,0.03703488680524902
2013-03-12,0.00018941102016943994,1.8662994841940874,9.699288788056773,-0.00625211973215567
2013-03-13,0.00014208410575010765,-1.326970708999505,8.907833288698804,0.00798199265486188
2013-03-14,6.23111087590073e-05,0.0124161088560284,4.316649073911657,0.002071824616458162
2013-03-15,4.9785529625871566e-05,0.10971106118371984,3.7857866058291316,0.0
2013-03-18,0.0003232320778935482,1.9667510663006091,9.168292704055776,-0.006922852849311489
2013-03-19,0.00023062258394559112,-0.631833559744035,2.9055485433797745,0.0017353494973555428
2013-03-20,0.0001445590177562737,0.1827623849703862,2.4175423756650853,0.01000496285819752
2013-03-21,0.00013178150945345138,-0.29673814832451834,3.87386345826854,-0.013130748683402249
2013-03-22,0.00011578195248243152,0.2503883108546389,3.634571028633453,-0.00663082474728105
2013-03-25,0.0002978652040411539,0.36861894596073524,3.4524588158285865,-0.005617646948082644
2013-03-26,0.00016573157591669768,-1.0405538431987236,8.157216034988062,0.01502719276402864
2013-03-27,0.000142008778034014,0.45687406098447947,4.332559962059225,0.000693641093041375
2013-03-28,0.00018521986469558754,-1.1514752549720713,4.426211818241944,0.0027691023989961927
2013-04-01,0.000326779527976066,-1.2103306143581158,6.204792405761528,-0.02343179324796063
2013-04-02,0.00013107177687696978,-1.2013543808780947,4.914296823882854,-0.0063897248871769285
2013-04-03,0.0002627800186341434,-0.0595206226427827,4.009445241882259,-0.006789538193498146
2013-04-04,0.0001523025195705391,0.4863823364153291,3.8429767384614073,0.01247124805564237
2013-04-05,0.0002712699297933507,1.6007589394140604,8.826621846502544,-0.01247124805564237
2013-04-08,0.00019216262487554547,-0.7539100457099189,3.328012383469578,0.007857325392354397
2013-04-09,0.00011361217256444556,0.4958988518187232,5.514519985483579,-0.007498717534496713
2013-04-10,0.0002247412651673871,1.0998270394709382,5.035392590244551,0.019872885703308363
2013-04-11,0.00010748185520699864,-0.43660729878265064,3.129163655014393,-0.006344941641339474
2013-04-12,0.00010766830320150454,-1.1556007244972741,5.254425437818855,-0.012811380100858472
2013-04-15,0.00036573910746018324,-0.4560806673426204,4.063227498722179,-0.028703129315629905
2013-04-16,0.000363639701184693,0.4227283173575907,7.078239358713311,0.009537872806356873
