,ASGN,AVA,B,BCPC,CACI,CBU,CHE,COLB,FCFS,FFIN,FIVE,GBCI,GDOT,HAE,HI,IART,JBT,KFY,KS,NEOG,NSP,PDCE,PSB,QLYS,SIGI,SKYW,STMP,TREX,VAC,WWE
2013-03-28,25.309999,22.731686,27.248676,42.891521,57.869999,25.288023,76.903542,19.607777,56.640999,21.646927,37.889999,15.793099,16.709999,41.66,22.270439,19.504999,19.848652,17.143135,12.998081,24.791199,11.207246,49.57,69.05098,12.34,21.942244,15.254086,24.969999,24.59,40.690121,7.637757
2013-04-01,24.84,22.706797,26.617613,41.915386,57.470001,24.921034,76.47084,19.322311,55.46624,21.602386,37.98,15.485229,16.57,41.610001,22.085445,19.48,19.800817,16.461632,12.811057,24.816204,11.195394,49.330002,68.753494,12.16,21.759466,15.31111,24.940001,24.01,40.301334,7.57714
2013-04-02,25.08,22.914202,26.448076,41.651825,56.759998,24.741804,76.278534,18.992243,54.806042,21.335142,37.240002,15.368732,16.459999,41.799999,22.182352,19.709999,19.791256,16.231266,12.76898,25.016254,11.112436,49.509998,68.832268,11.98,21.704641,14.009048,24.98,24.0,39.99789,7.594461
2013-04-03,24.17,22.615538,26.269114,40.949005,56.080002,24.400427,75.990082,18.885197,54.398273,21.027809,35.740002,15.119111,16.34,41.009998,21.803539,19.5,19.657331,16.125677,12.422986,24.56114,11.005776,48.009998,68.228539,12.0,21.329945,13.267729,25.07,23.23,39.457382,7.663738
2013-04-04,24.35,22.441322,26.598774,41.066143,55.32,24.76741,76.182388,18.938721,53.64098,21.281696,36.970001,15.102466,16.16,40.740002,21.882824,19.41,19.619072,16.116083,12.563254,24.776194,11.068982,45.91,68.316032,12.1,21.485304,13.76194,24.940001,23.370001,40.291855,7.715694
2013-04-05,23.57,22.482798,26.269114,41.68111,55.099998,24.758877,75.45163,19.010082,53.806034,21.393044,35.439999,15.085691,15.5,40.32,21.671398,19.1,19.504284,15.760932,12.525849,24.706177,10.914917,46.700001,68.141037,11.77,21.329945,13.971032,24.74,23.74,40.016861,7.594461
2013-04-08,23.85,22.598949,26.476332,41.768963,55.720001,24.980778,75.374718,18.858437,54.126423,21.375229,35.689999,15.211478,16.129999,40.25,21.979729,19.049999,19.475588,16.106485,12.670792,24.811203,10.974172,46.66,68.95472,11.68,21.823437,14.436736,24.709999,24.25,40.301334,7.646417
2013-04-09,24.08,22.449612,26.278536,41.310177,55.830002,24.869825,74.913177,18.813833,54.398273,21.050081,35.57,15.161164,16.309999,40.290001,21.891636,18.950001,19.446896,15.885715,12.717546,24.656164,10.764802,47.369999,68.578506,11.4,21.75033,14.199131,24.75,24.16,40.889259,7.60312
2013-04-10,24.51,22.607243,26.80599,42.676773,56.900002,25.270948,76.143921,19.036848,55.573036,21.312868,36.139999,15.454662,16.690001,41.060001,22.270439,19.190001,19.743427,16.183271,12.932624,25.151287,10.824056,47.200001,69.147217,11.83,22.115883,14.541278,25.0,24.559999,41.57201,7.758991
2013-04-11,24.110001,22.607243,26.636446,42.481548,56.939999,24.903963,76.624702,18.965481,55.582741,21.201521,37.0,15.354034,16.299999,41.18,22.023773,17.055,19.944304,16.068089,12.815733,25.126282,10.820107,45.990002,69.549713,11.97,22.134159,14.769379,24.969999,24.42,42.04615,7.880227
