,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
06DEC2013,68.830841,80.65508299999999,120.63781000000002,74.491638,18.532808,102.98410799999999,66.800461,34.128674,23.212120000000002,157.959259,72.908371,154.24714699999998,21.838196,84.057838,50.218384,35.311558000000005,85.008026,115.734932,42.825309999999995,34.442837,36.865833,27.082724,73.918655,80.813751,68.66516899999999,100.512451,40.747482,40.747482,71.45146899999999,82.827621
09DEC2013,69.61869,80.48616,120.19160500000001,75.005684,18.480553,103.86834,66.47328900000001,35.458363,23.427532,158.393753,72.689194,154.06485,21.934978,84.057838,50.62149,35.259192999999996,84.059601,115.698944,42.972721,34.757103,36.828888,27.117072999999998,74.146027,80.30532099999999,68.87069699999999,100.566711,40.821594,40.821594,71.460403,82.992142
10DEC2013,69.510529,80.05439,119.31700900000001,75.293221,18.471848,104.13784,66.90329,36.310055,23.384445,160.339813,71.785156,153.769653,21.838196,83.790817,50.791691,34.779185999999996,83.804909,114.78105900000001,42.859989,34.218376,36.570384999999995,26.910988,73.157791,80.296249,69.178993,100.385826,40.393368,40.393368,70.682793,82.87958499999999
11DEC2013,68.995537,78.749725,118.299644,74.299988,18.184445999999998,102.824127,65.921745,35.675625,22.901937,158.327682,72.141289,152.10278300000002,21.48625,82.874039,50.227345,35.023556,83.655624,114.079132,42.443787,33.769428000000005,35.471691,26.318499,73.481369,79.07961999999999,67.394646,98.287277,39.932201,39.932201,70.691727,81.62395500000001
12DEC2013,68.89475300000001,78.18654599999999,118.656624,74.55265,17.862211,101.88934300000001,65.893364,35.423603,22.867476,159.01724199999998,71.712112,150.514069,21.530237,81.13842,50.442329,34.220627,82.636932,113.908157,42.27755,33.419258,35.411304,25.975029,71.97711899999999,78.652924,66.338959,97.771675,39.635746000000005,39.635746000000005,70.16435200000001,82.576515
13DEC2013,68.143799,78.543213,119.43306000000001,74.970848,17.627071,100.97142,65.883904,36.084095,23.125956,159.073959,72.150421,150.019196,21.371868,81.30753299999999,50.316925,34.238079,82.935516,113.773178,42.330044,32.943378,35.490284,25.975029,72.038322,78.525787,65.843834,97.102325,39.396915,39.396915,69.788986,82.53319499999999
16DEC2013,68.521118,79.331627,120.227272,76.12960799999999,18.010267000000002,101.240921,66.72614300000001,36.153614000000005,23.246584,161.49231,72.232613,154.403427,21.512646,81.325325,50.540871,34.27298,83.822479,114.880043,42.076316999999996,33.122955,35.508858000000004,25.975029,71.443626,79.034248,66.385681,98.16969300000001,39.74279,39.74279,69.485085,84.187141
17DEC2013,68.212601,78.946823,121.26251200000002,75.728813,18.219282,99.99455999999999,66.868088,36.675072,23.289671,161.057816,71.794296,152.588943,21.697414000000002,80.69339000000001,49.913815,34.124611,82.88282,118.236626,41.910069,32.790733,35.657505,25.880575,70.761452,78.598434,66.077377,97.346558,39.166340000000005,39.166340000000005,69.047104,83.780174
18DEC2013,67.693962,80.711395,120.91444399999999,76.817886,18.288956,102.403038,68.325439,37.813559999999995,23.617085,165.167114,73.100128,155.14138799999998,22.128551,82.455711,51.275425,34.927555,84.244003,122.20515400000001,42.785019,32.844608,36.489017,26.421545000000002,72.047066,80.023872,67.618835,99.327499,39.915729999999996,39.915729999999996,69.663841,86.196152
19DEC2013,66.918396,81.105644,120.628876,76.269012,18.34992,103.767303,69.054115,38.152508000000005,23.730001,165.100967,73.008812,156.460999,22.119751,81.868279,51.266464,34.78791,83.550232,122.75410500000001,42.688778000000006,32.548306,36.354309,26.370017999999998,71.627274,80.613998,67.628197,99.047089,39.882785999999996,39.882785999999996,69.03817,86.10090600000001
20DEC2013,67.478874,82.194427,121.967514,77.480034,18.402174,103.396751,68.514702,38.048199,23.764746,165.46942099999998,73.091011,156.287354,22.049357999999998,81.966171,51.687496,34.945004,84.753357,123.033051,43.1525,33.042141,35.926937,25.975029,71.574791,80.968109,68.525032,100.096375,39.594563,39.594563,69.208,85.451431
23DEC2013,70.06851999999999,82.888992,121.726547,78.37741899999999,18.785368,103.413612,69.347488,38.13512,23.799488,166.706924,73.565857,158.20602399999999,22.278124,81.912773,52.171227,35.049728,84.568939,123.105042,43.187496,32.880516,35.820095,26.060896,71.11128199999999,80.949951,69.459259,100.241089,40.006316999999996,40.006316999999996,69.60128,85.304237
24DEC2013,69.77109499999999,83.24568199999999,122.11030600000001,79.205116,18.889877,104.011513,69.886887,38.604416,23.98189,166.414108,73.638908,159.065521,22.37491,81.939461,52.180172,35.075924,84.779678,123.27606200000001,43.231251,33.293549,36.075588,26.009377999999998,71.11128199999999,81.249557,69.253723,100.829033,40.335724,40.335724,69.72641,85.91906
26DEC2013,69.307716,83.536652,123.395416,79.414215,18.98568,105.106277,70.615578,38.986816,24.172987,166.688019,74.469902,160.914703,22.612476,82.36670699999999,52.135384,35.337749,85.043152,124.445862,43.502483000000005,33.616791,36.321796,26.232632000000002,71.504837,81.721672,69.926369,101.932571,40.500427,40.500427,70.06603199999999,87.37384
27DEC2013,68.83943199999999,83.714966,122.17276000000001,79.170273,19.177275,105.459976,70.360054,39.039326,24.172987,166.593597,74.552086,160.680298,22.524492000000002,82.197594,52.081641999999995,35.486115000000005,85.104637,125.399773,43.563721,33.482101,36.307854,26.309912,71.72348000000001,81.57639300000001,69.776909,102.032074,40.492191,40.492191,70.13755,87.902054
30DEC2013,68.154839,84.090408,121.29819499999999,79.170273,19.377582999999998,104.61784399999999,72.139183,39.039326,24.225101000000002,166.007858,74.82605,161.83493,22.744457,82.15310699999999,51.911442,35.861393,85.192444,125.462769,43.694965,33.482101,36.577282000000004,26.352846000000003,71.714737,81.96682,69.860985,101.968758,40.475716,40.475716,70.280579,86.862938
31DEC2013,68.953758,85.160439,121.806923,79.117981,19.534348,105.190506,72.30005600000001,38.864269,24.346701,167.453217,75.191315,162.842026,22.841238,81.521126,52.386204,36.053406,85.209999,126.20966299999999,43.791214000000004,33.589855,36.53083,26.301329,71.198746,82.202873,70.34677099999999,102.936607,40.467484000000006,40.467484000000006,70.334198,87.63362099999999
02JAN2014,67.984016,83.959023,121.967514,78.299019,19.306179,104.542061,72.177032,38.400349,23.886345000000002,167.103699,74.89909399999999,161.070953,22.691662,81.022728,52.485397,35.486115000000005,84.665543,124.301895,43.30125,33.365383,36.345024,26.155352,70.437851,81.104294,69.664787,101.751678,40.352191999999995,40.352191999999995,70.53085300000001,86.378006
03JAN2014,66.490685,84.23120899999999,122.815308,78.255455,19.288629999999998,104.71889499999999,72.025612,38.225281,23.868976999999997,168.293991,74.780396,162.03462199999998,22.682863,81.75255600000001,52.89112900000001,35.311558000000005,84.779678,124.589851,43.511223,33.140915,36.247475,26.206877,70.359138,80.949951,70.159935,102.12252,39.874546,39.874546,70.29847,86.17016600000001
06JAN2014,66.853264,84.193665,123.520348,77.227379,19.314958999999998,104.441002,71.751183,38.155262,23.677885,169.446503,74.058983,161.478958,22.401301999999998,82.179787,53.197697,35.145744,84.17375899999999,123.85194399999999,43.519981,32.440559,35.968746,26.232632000000002,70.525314,80.73204,69.356491,102.023033,40.096905,40.096905,69.905174,86.300072
07JAN2014,66.37514499999999,83.874565,125.39441699999999,77.480034,19.57822,105.325226,72.243271,37.735107,23.703945,168.42627,74.42424799999999,164.699905,22.51569,83.92433199999999,52.584568000000004,35.250469,84.639191,123.869942,43.843708,32.691963,35.996615999999996,26.395782,71.207481,80.259918,71.47718,102.674301,40.599247,40.599247,70.119682,87.52104200000001
08JAN2014,66.79549399999999,84.138023,125.671066,77.663002,19.560675,103.826233,71.18337199999999,37.778884999999995,23.634453,168.567963,74.81691,163.189301,22.37491,83.80863199999999,53.080481999999996,34.857731,83.787346,122.952072,43.563721,32.10833,35.810798999999996,26.576107,70.175484,79.515434,70.645714,102.800934,40.374485,40.374485,69.56552099999999,87.235283
09JAN2014,65.94252,83.63929,126.84014099999999,78.159607,19.385158999999998,103.826233,70.88054699999999,37.288689,23.643143,167.58548000000002,74.488182,162.67706299999998,22.269320999999998,84.315956,52.981308,34.674465000000005,83.831261,122.790054,43.327492,31.901831,35.810798999999996,26.558931,70.332924,79.60623199999999,71.075455,102.855209,39.542023,39.542023,69.797905,86.38665
10JAN2014,65.502495,83.328751,126.634872,78.85662099999999,19.499245000000002,101.906204,71.344254,37.384979,23.417305,168.52073700000003,74.889977,162.572876,22.4629,84.324844,52.737854000000006,35.023556,84.129829,122.547081,43.642478999999994,32.359753000000005,35.731834,26.352846000000003,70.227974,79.433716,69.786232,102.96376,39.750134,39.750134,69.753235,87.04476899999999
13JAN2014,65.84540600000001,81.860718,125.563988,78.316437,19.472918,100.42403399999999,69.338013,36.667221000000005,23.217527,166.149536,73.94025400000001,159.881561,22.436495,84.111237,52.025543,34.499905,83.278008,121.197273,46.477314,31.407995,34.92355,26.224047,69.97435,78.38961,69.07624100000001,102.032074,39.150757,39.150757,69.26162,85.338875
14JAN2014,67.155594,81.983063,124.948204,78.900177,19.665982999999997,100.693512,70.454697,37.332462,23.425995,166.829727,73.976807,161.4095,23.325160999999998,84.307053,52.061611,34.639545,83.620499,123.65398400000001,46.372318,32.126296999999994,34.918903,26.619038,70.726486,79.397385,69.15097,101.87831899999999,39.19239,39.19239,69.681732,85.832481
15JAN2014,68.503922,83.04644,125.49259199999999,80.511986,19.990676999999998,100.365082,70.293816,37.682590000000005,23.747372,168.860794,74.031578,162.989578,23.465942000000002,84.378242,53.639511,34.700638,83.831261,124.58084099999999,45.952335,33.006221999999994,35.03968,26.773603,70.656502,79.78782700000001,69.917015,103.180847,40.183018,40.183018,69.413574,85.538033
16JAN2014,68.121658,82.60412600000001,125.126694,80.68737800000001,19.990676999999998,100.070351,70.227577,37.717597999999995,23.625772,165.47886699999998,74.205086,163.875107,23.351561,84.23583199999999,53.188683,34.657005,84.358162,124.328903,45.934837,33.122955,34.742385999999996,26.765013,70.45536,79.20674100000001,67.973854,103.316528,40.399464,40.399464,68.609138,85.67659
