,RDVar,RDSkew,RDKurt,DR
05MAR2013,3.7225443858949056e-05,0.17284730528298653,3.2319297437394563,
06MAR2013,6.24641505871427e-05,1.3391207695651328,6.64926810752104,0.007259631600653904
07MAR2013,3.985976585476563e-05,-0.01510464917361073,4.259265447216882,-0.0014475890409539893
08MAR2013,0.00011009541073508237,-2.562312408555631,17.28166558600339,-0.009644425273577006
11MAR2013,5.288058001236549e-05,-0.00834552101154681,4.503721191101485,-0.002929961615554255
12MAR2013,0.0001019478013591096,-0.9142409653032145,6.004257965134893,-0.019256168994297163
13MAR2013,9.260604522337537e-05,1.0216206100737137,3.9469832499311073,0.02510737252589612
14MAR2013,4.382729153978452e-05,-0.8140989176710158,7.248196550767884,-0.0029212419160447034
15MAR2013,8.344520542136956e-05,-1.6061827598216702,12.290265228370105,0.001644088186868231
18MAR2013,6.102758309069081e-05,-1.0125734907216344,4.013878804905026,-0.011382516021872569
19MAR2013,9.224984435352495e-05,-0.538891600435824,3.0659828324445866,-0.006111433036202207
20MAR2013,8.134762468586682e-05,-0.1344921599715357,4.554740276462125,0.018406574047293844
21MAR2013,0.0001994141251139884,-1.201819471868957,3.9514700863251315,-0.022688420883532956
22MAR2013,0.0002548924455355235,0.6122469094181533,3.6658426745171853,0.10493118154651837
25MAR2013,0.00012695890776776725,-0.12262295188296743,2.4566131333754067,0.0005038458817518965
26MAR2013,6.279985975256415e-05,0.18447511610154643,3.6030520771563666,-0.001512226037268416
27MAR2013,6.507036351066108e-05,-0.5354396992000311,2.584998907020016,-0.01730038080297236
28MAR2013,5.4936215885541097e-05,-0.7339740593143543,4.970769507448313,0.009535275076586469
01APR2013,8.136254908892075e-05,-0.6291626600749721,2.5980055842927023,-0.012791324785864866
02APR2013,0.00011069331756052386,0.7250213549145834,4.400650003721082,0.010925761085113006
03APR2013,0.00017901442186087635,-0.3734823886315612,4.903659037968981,0.000169425521546529
04APR2013,0.00011219245747914117,0.6329609734104813,5.395455693401822,0.0072728146879694755
05APR2013,7.255144604326385e-05,0.4490996565391346,3.049090251404631,-0.006254704691608826
08APR2013,8.387647270968149e-05,-0.16243152753957665,4.098392455208159,0.016482139595400014
09APR2013,0.00011100375877902379,-0.8426899184697498,6.155860372005249,-0.001001531874858852
10APR2013,0.00012073054262653925,-0.2269236483256929,6.88917373167578,0.006656771973825304
11APR2013,7.377886378737492e-05,0.6757498951110511,2.999828985753939,0.014980844848075492
12APR2013,7.159364367125213e-05,-0.09408136159212069,2.401792380071227,-0.010182148592811746
15APR2013,0.0001393908749970348,-0.614199408818249,3.098648694081986,-0.015135621680355982
16APR2013,6.315284249689046e-05,0.3895051495055739,3.0480056702976506,0.01381424812066534
17APR2013,0.000105466023212589,0.8801544635043497,3.944174423529249,0.006589692715877948
18APR2013,0.00013478871261712972,-0.27905071010051063,3.0165908894153586,-0.011893154513430648
19APR2013,0.00013730034000253972,0.852156306264046,3.682887542857857,0.01222135606918151
22APR2013,8.066325645430733e-05,0.4492436568642638,4.155285685460464,0.007196678576252502
23APR2013,0.00022445770518478923,-0.9020677210498886,15.958791105797326,0.005201701618743115
24APR2013,4.8938140851680354e-05,-0.3504614641399133,3.199117259728876,-0.002434883288008116
25APR2013,5.4580121647181385e-05,1.347737341636999,6.4637714559401696,0.008737859385897995
26APR2013,0.00010391335358654781,-1.0328987067800364,5.65364099294269,-0.00290416834317897
29APR2013,8.419055357100843e-05,0.41743684887869464,3.2785073876048894,0.011885858049966114
30APR2013,6.303142945107901e-05,0.6890272533205449,3.4559732169747788,0.01536889248915596
01MAY2013,0.0001387618625817987,0.02729999107561631,2.6208792054074754,-0.003780635629885065
02MAY2013,6.438878803342621e-05,1.6138530638869732,14.179185686446807,-0.0006315325646277792
03MAY2013,7.011791281492965e-05,0.3136297862289788,6.318558546288859,0.019238884417543733
06MAY2013,7.782637685091649e-05,-0.6949852399213916,5.274855227949335,-0.0091822222494784
07MAY2013,3.630496831757926e-05,-0.20148298237338488,3.981937760962098,-0.0007822666847934201
08MAY2013,5.427492883293369e-05,0.3513180579358009,3.182211481901295,-0.00015613513996992623
09MAY2013,6.034034246117162e-05,0.8383411200020713,7.424732748913403,-0.002507166306525921
10MAY2013,0.00010051921063820708,0.7043683437469908,5.751522770433816,0.01587572701379969
13MAY2013,4.380037820948256e-05,0.062377027031241795,2.687058916995355,-0.0016999504701242785
14MAY2013,6.194340600045357e-05,0.8733278737397457,3.019655248416763,0.019302094731259434
15MAY2013,7.012004521780804e-05,-0.009422433405519919,5.968213413616893,-0.0012144854932825133
16MAY2013,0.00013312741581667948,0.06989648673257436,2.6674661271792326,-0.021341080897205877
17MAY2013,7.028324337431485e-05,1.9012157784160966,8.672735287372118,0.013563801002969722
20MAY2013,4.147424374469385e-05,0.3476763354136713,2.9330527904399775,0.0001530771904048045
21MAY2013,6.150105078956768e-05,-0.5135020120627842,5.886750393101667,-0.0015318947063409638
22MAY2013,0.00010317842810582056,-0.4332716856392408,3.571764847384086,-0.012030020381074813
23MAY2013,0.00018668610337908533,-0.059354901167099315,3.7148097223035226,-0.017530450157727806
24MAY2013,0.00020355132626127738,0.43093060083410906,4.0508845854786015,-0.00856333663161779
28MAY2013,0.00014954558706301529,-0.35466290613398205,4.087148266350563,0.007773631881947463
29MAY2013,0.00012450746508942335,-0.0025433515986508586,2.6497799067369265,-0.005546685232605597
30MAY2013,8.863515645178293e-05,-1.0364100689557907,5.930545743332242,-0.0016007421525654486
31MAY2013,0.0001304263108671597,-0.3532225822991569,3.500267559340504,-0.012090050201765568
