,RDVar,RDSkew,RDKurt,DR
05MAR2013,3.898951356518331e-05,-0.15767410961854772,3.643556017103392,
06MAR2013,9.129140325931623e-05,0.3414007155210271,4.675124679060796,-0.0005583789904042291
07MAR2013,2.8597744814621407e-05,-0.6293382777927862,3.498641452277169,-0.009536127340681766
08MAR2013,3.9480927546258375e-05,-0.0323988699115288,2.691041558816973,0.00292675408776244
11MAR2013,4.183014347863471e-05,-0.155409219825682,6.897763580427628,0.0021332364059594155
12MAR2013,3.555684501934269e-05,0.003667267580841241,2.8183732688286085,0.0
13MAR2013,2.5248296739038814e-05,-0.3841335165417838,3.3996162704967112,0.0011210427310368587
14MAR2013,1.4295111007639398e-05,0.48175508302460607,2.5885201332086436,0.006365449223185493
15MAR2013,4.37505507633362e-05,0.32573279405485106,3.3267493879414065,-0.0051342519217563165
18MAR2013,4.933691963941203e-05,0.04610579966518712,4.1434936372146405,-0.006735941452020278
19MAR2013,0.00011091765659522953,0.373084249648249,5.495179174439963,-0.002142724913855254
20MAR2013,5.5887234133678105e-05,-0.7606321068142349,5.6436466776276495,0.0005641424617008894
21MAR2013,4.644790519354911e-05,0.0573082487314029,2.3359308130526113,-0.005203547829846222
22MAR2013,6.740304527359196e-05,0.9959585978907944,5.747558974617339,0.012622735064415913
25MAR2013,7.690342643093674e-05,-0.0646117533789784,3.82041037517575,-0.0030286814332383116
26MAR2013,4.7924964092972214e-05,0.2433979928183554,4.661264898488029,0.012392110735021333
27MAR2013,2.780053704547038e-05,0.6124948794969592,3.0297067251089533,0.004980469060282822
28MAR2013,5.0874406895266776e-05,-0.16707214855306957,5.106937566014294,-0.005202115404051355
01APR2013,4.267566669824529e-05,0.9973986797622604,4.589310342950791,0.007297682764581204
02APR2013,4.157269334523974e-05,0.5173033068910093,3.8319332114263465,-0.0020955673605298486
03APR2013,7.383608011429056e-05,0.010718822504932316,4.992293716330101,-0.007201531973607622
04APR2013,9.267041158520177e-05,0.20253472366615272,5.593552326431351,-0.0017809920597100515
05APR2013,8.628614388733223e-05,0.9901446773635232,7.931636343380115,-0.008502102371692466
08APR2013,3.7103047068479824e-05,-0.05146438117304043,3.089799159841497,-0.004616927763991363
09APR2013,4.3517446079576655e-05,-0.6101726163190633,4.239691946496674,0.0019170510245203332
10APR2013,3.2707692431606204e-05,0.3735129663539951,3.1948696577217373,-0.0010145586766157066
11APR2013,7.125638398911204e-05,0.9860018564020969,5.623225353325283,0.0060710312470169114
12APR2013,3.271309317130371e-05,0.34509326908773474,4.129125639828573,-0.0025815347529745125
15APR2013,0.00013242547276690278,-0.7888533440227712,3.336070639140672,-0.028495146276249272
16APR2013,7.430498084958683e-05,-0.3150580823943542,2.969052637990375,0.0013865988628189996
17APR2013,0.00011560331281343933,-0.26734218028510137,2.835283286275912,-0.006138162359449417
18APR2013,0.00010036687234004767,-0.25978893291152616,3.1885519179008104,0.006253517788011642
19APR2013,5.833706423956208e-05,-0.7977021970949569,4.858360639650149,0.009536509881666433
22APR2013,4.492462955891649e-05,-0.9427440812922031,5.025742417815737,0.007292206837782977
23APR2013,0.00022955310748557143,0.3231039771926556,21.165463674781446,0.013642246717820328
24APR2013,3.721126841382114e-05,-0.323482878357049,3.939002401193812,0.0014547263729225435
25APR2013,0.00013066581700288654,-1.2623074344754963,9.661889408506811,-0.015324475602445986
26APR2013,6.652835228063597e-05,-1.0138021943521633,7.750548303944489,-0.0007949854968059
29APR2013,4.0822011124516255e-05,-0.38740027486483275,3.6293239186045687,0.002383704444281598
30APR2013,5.8134433493808764e-05,-0.16071090339210145,3.180049916362263,0.008803258829646055
01MAY2013,7.489609383334516e-05,-0.7987137348609361,3.3301947962797054,-0.01677065221649965
02MAY2013,5.7438402608785816e-05,-0.3938122513024929,5.2444107967873475,0.012717131946918592
03MAY2013,4.524495087129471e-05,0.3288716595133948,3.1305671430877484,0.015561611025072253
06MAY2013,3.45014056620918e-05,-0.24016281818341598,4.206819925239172,0.006201474571563281
07MAY2013,3.071292301071881e-05,0.2305233549382309,4.649192639669305,0.006273172800323579
08MAY2013,2.4931058626695738e-05,0.4127868170563201,3.341810010465236,0.006015683296550556
09MAY2013,9.00048358271284e-05,0.4794437150977719,4.770720036263736,-0.00043937637395607965
10MAY2013,5.6852829270680124e-05,0.7041873700908001,6.862164438743495,-0.009824861054286593
13MAY2013,3.0484102394580484e-05,1.2344841817237027,6.832272681748386,-0.00044400142172307255
14MAY2013,3.795003034558169e-05,1.5317191526410714,6.010638356848289,0.01114780773664581
15MAY2013,6.54511728820105e-05,0.2584810246983087,3.786129551399773,0.0014254503285311415
16MAY2013,4.9650784501171396e-05,-0.03882978031893689,3.4375638052579043,-0.0059361839741542965
17MAY2013,4.061574374900532e-05,0.19655455897570648,4.084237529519066,0.01161923264314435
20MAY2013,5.407319619063805e-05,0.34404036807337424,3.2915837272620014,0.008248296806744548
21MAY2013,7.936572103258606e-05,0.6572784209948853,4.1491749265082,0.003022006821077561
22MAY2013,0.00020744706514064769,-0.3245612909563862,3.1677978961024533,-0.0065949098250923655
23MAY2013,0.00010284237426615556,0.023876160331288754,3.737977168896087,-0.004348388252374491
24MAY2013,5.762506940882739e-05,-0.40007650896693836,4.038992678217634,-0.0028366093317009344
28MAY2013,5.89304528868635e-05,0.1472668655568877,3.8584246767105412,0.009243611302351518
29MAY2013,6.482315852992092e-05,-0.0824016385708292,3.559772427239247,-0.003252453502156527
30MAY2013,7.379642220855273e-05,2.32610158169815,14.97716171520249,0.00010806280910902188
