,BA_RDVar,BA_RDSkew,BA_RDKurt,BA_DR
2013-03-05,9.652985626856115e-05,1.0650914464366323,5.099107849114832,
2013-03-06,5.8078339433981704e-05,-0.1692245348735507,4.964183387855021,0.005325496682943687
2013-03-07,0.00018401607331540226,0.7593407483552539,6.925764857841223,0.02460615463466631
2013-03-08,6.506099732114832e-05,-0.5544510484865421,3.0608961850653147,0.0022183254843275435
2013-03-11,9.957200442514244e-05,1.360388865048039,7.033508136842462,0.020832790553107827
2013-03-12,0.00010195569940262076,1.3520205315241107,7.365162788923006,0.014602420467604738
2013-03-13,0.0001158106553217682,-0.4789743553963052,4.8513161239754465,0.006985797852637532
2013-03-14,6.0833732539001014e-05,-0.7664267095695031,4.905423676801657,-0.0015349767508983092
2013-03-15,7.958423506437071e-05,1.2623843924237876,5.756412725731244,0.021164211671045763
2013-03-18,4.688589495063471e-05,0.21338620796162275,3.6818983154164187,-0.014568007021266816
2013-03-19,0.00010136319827420287,0.29960273166126083,4.763013442791232,0.0038666323783997925
2013-03-20,6.269248390742306e-05,0.40407181819259336,4.416562243377694,-0.0016386231513250138
2013-03-21,8.301508048479457e-05,-1.0756752088411012,3.5274641139223712,-0.01225714119591892
2013-03-22,5.3698260184866314e-05,-0.6097357544328547,6.1197528097516765,0.005793739361321215
2013-03-25,9.823047830059589e-05,0.19286717685573013,4.547213058657026,0.00035345690209709346
2013-03-26,6.992390535087421e-05,1.9367673447051845,7.928657693584181,0.02064576492870973
2013-03-27,5.2310961684907264e-05,1.0925884478079833,5.985153596468722,-0.00486030062650844
2013-03-28,5.454968205301594e-05,-0.6014518370325356,5.450347878851044,-0.004068592075470612
2013-04-01,8.244704583982631e-05,-1.5086176931263149,7.80535515160276,-0.007013561745579544
2013-04-02,8.263443555342675e-05,-0.3606564709808687,3.362795393573444,-0.01370052584257575
2013-04-03,7.162465834343481e-05,-1.2505257086137553,7.41375675431044,0.0032058255546285608
2013-04-04,6.501680690153726e-05,0.27222505168345473,4.700787730211122,0.006969399847005953
2013-04-05,0.00010019720940916472,0.9255473330667873,2.5284570493465806,0.014259151832908934
2013-04-08,8.195509835526042e-05,-0.7821447818271823,5.777859458319767,0.006708452806857501
2013-04-09,8.760234878711316e-05,0.3849196026339979,6.44991586748569,0.005288719595615277
2013-04-10,0.00010185774536599454,1.6936761321237919,7.5330077716632715,0.006969828993370619
2013-04-11,8.840612635546795e-05,0.4858864196612463,4.285796914280587,0.008052215747938796
2013-04-12,0.00010719319897929828,0.6465303904766255,4.507264383263525,0.004058351491609713
2013-04-15,0.00023070654172129714,-0.553964447160188,3.106097335408504,-0.02413853602585192
2013-04-16,8.777284058653674e-05,-0.5434656969450976,3.2703644732881485,0.001381696908588026
2013-04-17,0.00020386668459845253,-0.47458875766722214,10.554505611560755,-0.0023044007885957285
2013-04-18,0.0001299973772747163,-1.0688978729714869,4.611901097333221,-0.006596623419298453
2013-04-19,0.0001650260660711083,0.0691741543999103,4.6542339779386745,0.021140332203108514
2013-04-22,7.836454493840355e-05,-1.1337449255102057,6.434217287089225,-0.011663657791511461
