,RDVar,RDSkew,RDKurt,DR
05MAR2013,1.4314432748477048e-05,-1.3234797775800284,13.280642833782355,
06MAR2013,1.8749500168410188e-05,-0.6491569642356602,4.081357096348123,-0.003482634208305413
07MAR2013,1.3489423270317688e-05,0.297412913929738,3.7083605835302857,0.004640896061982147
08MAR2013,2.3493001975966093e-05,-0.6238311088129995,4.875408393526446,0.005643200352539068
11MAR2013,1.84699942072136e-05,1.7692602633897998,8.015509783826658,0.003192194219813871
12MAR2013,2.2886968704416755e-05,-0.05853640916910947,3.080954958137876,0.0015286067329896014
13MAR2013,1.3690349981698263e-05,0.9682980503783496,7.174946981209448,-0.00012726422610676025
14MAR2013,2.0262192109116457e-05,1.5715672802424885,5.6863284345493295,0.006977464685272494
15MAR2013,1.3606683275509609e-05,0.21946837383165566,2.829081237485766,0.0011371880070543128
18MAR2013,2.1208023321766255e-05,-0.15479919421701355,2.7380962487331084,-0.0048102045873967825
19MAR2013,3.927224403379988e-05,0.6464079456089025,4.783317789610874,0.0006343961618968663
20MAR2013,3.0101197067364653e-05,0.37678029390100687,3.075178512679173,0.007453493118346088
21MAR2013,4.171873883263503e-05,0.38228207988683144,3.0256935339009643,-0.005553021059967023
22MAR2013,2.990499884727087e-05,1.4118180050953657,6.0330746274590155,0.00919673477195282
25MAR2013,3.707614845635918e-05,-0.8026886414492058,4.056698940004276,-0.0007527514842955441
26MAR2013,2.454752820231274e-05,1.0480828471384,3.2534435653287392,0.014576999450067518
27MAR2013,5.428248381929453e-05,2.3625326057999794,9.434132025840286,0.005181303281361238
28MAR2013,2.8999958315499758e-05,-0.5295114302039906,4.41322035841432,0.0031940289338994177
01APR2013,3.243087077650408e-05,0.8975605674513732,3.778952695556658,0.004893976217012153
02APR2013,3.473609137738771e-05,0.9024263540086883,10.830127458922995,0.00923350147624813
03APR2013,6.405276400892506e-05,-1.5923249740392766,6.521113347472553,-0.0075259825007689685
04APR2013,5.4454444826944496e-05,-0.6985070323165631,8.257141563490709,0.004134237894653836
05APR2013,6.416592667454197e-05,0.8947902991306982,4.972799227870529,-0.004499745464131344
08APR2013,3.703101980049239e-05,-0.010914376651951621,5.201183673976146,-0.011400612058169557
09APR2013,3.4570963485658385e-05,-0.37190162576684055,3.324142555612301,0.005041996511415903
10APR2013,2.5228879954549808e-05,-0.16442385461335637,5.0966953702594875,0.006114757576389351
11APR2013,6.276589634125395e-05,1.2390105264815954,7.086341027871134,0.0036509845331682556
12APR2013,3.4045670442581725e-05,-0.18228548236596126,3.062133462973291,0.005089334576851456
15APR2013,9.973679155724267e-05,-0.7235591233468162,3.8626714766777237,-0.01252681415256518
16APR2013,9.697173530300173e-05,1.286549170678644,5.681518611666691,0.020951376641357378
17APR2013,0.0001499691296481367,0.33268093222229,3.7649524903921923,0.0054976305253182645
18APR2013,3.7929792273974645e-05,-0.8698441340227606,3.732596576083144,-0.008618527556979672
19APR2013,3.0151831961630874e-05,0.7418885861783616,2.7966316334637633,0.015626156049182605
22APR2013,2.841455402493011e-05,0.14395742470733278,3.9915663244763135,0.004016060148164691
23APR2013,0.00028786882208641044,0.7371901119897248,30.627765043100876,0.007282209753869395
24APR2013,4.204511352669008e-05,-1.3764153196852331,5.202257589661845,-0.012482243093869805
25APR2013,7.802472745752768e-05,1.096559039584399,7.447930005639147,0.009786971874938821
26APR2013,3.446630803358642e-05,-0.7428361659431069,4.314037606864937,-0.001173919650406141
29APR2013,3.3504223556664205e-05,0.669117258217942,5.374694579409442,0.005389308502920187
30APR2013,7.582695627799006e-05,-1.583387057822074,9.971679161634361,-0.004098192571469816
01MAY2013,6.091576208329772e-05,0.10001487571922749,3.2747393135408878,-0.011802261186036667
02MAY2013,5.7135375567890156e-05,0.48318813280276157,9.224994168999665,0.01098062766287633
03MAY2013,3.3763993125540296e-05,-0.0821259966099712,5.04378847496716,0.006904396974883653
06MAY2013,6.519537478602516e-05,-1.0548073248806722,4.939778777879141,-0.01255677303700864
07MAY2013,5.0249611751288155e-05,0.6572914096744609,6.205393063149911,0.009987836649358428
08MAY2013,2.8513004980811102e-05,-1.5993885817926186,10.011302677817858,-0.0008186562623242466
09MAY2013,4.640120339854339e-05,0.043341931836780916,3.4531783971362726,-0.0036341104309167704
10MAY2013,3.654371693362564e-05,0.428379962052422,5.4583060710577795,0.0071380812997876575
13MAY2013,2.4578108010978963e-05,-0.39745816128415823,4.521269849915393,0.001049122610525366
14MAY2013,5.441025415914894e-05,2.134034479444436,10.46261209709223,0.012961522885039933
15MAY2013,3.033505688985214e-05,0.2578356772431232,3.09864406437009,0.00767429671039821
16MAY2013,5.8311414616378866e-05,-0.46052537506690705,3.9279084748844513,-0.002170344143205938
17MAY2013,3.523492421825105e-05,1.1305100340937244,6.401533570266278,0.007291807926516292
20MAY2013,2.4789636444833673e-05,-0.3458851085082384,4.067136993576863,-0.0009088328775890275
21MAY2013,5.0687975158611065e-05,1.065183767259438,6.123966371674875,0.006568718970545007
22MAY2013,0.00013742781902961908,0.24199730011285603,4.411562592230118,-0.0014681326341667855
23MAY2013,0.00010044411651635784,-0.14913487209915366,3.2103351475836144,-0.0067425276266162015
24MAY2013,4.869586893850524e-05,0.129045161617298,4.48276407299144,-0.0044821706774822445
28MAY2013,4.229555151602644e-05,-0.742901677386381,4.417916150819955,0.009058114350316337
29MAY2013,0.00017808305189873525,-0.5800916057782406,3.574198147444161,-0.022625855492869107
30MAY2013,6.175438332643795e-05,-0.0320928374323403,7.092021562643254,0.003961810030320478
