,VZ_RDVar,VZ_RDSkew,VZ_RDKurt,VZ_DR
2013-03-05,0.00010072088830847761,2.295329345106008,16.06394182682783,
2013-03-06,8.069848075280302e-05,-1.6586775778683935,9.732753239656898,-0.008634315631193434
2013-03-07,2.8821716242407205e-05,-0.4778287162951584,6.76271457753273,0.0042213903676073805
2013-03-08,3.270743756170425e-05,0.19774045584848607,3.3371067543008297,0.010058654194588179
2013-03-11,4.385198642737308e-05,-0.6525697329685737,3.8323668414220826,-0.003132297574422349
2013-03-12,6.2744371454087e-05,1.2243392467184735,4.514927601517215,0.01143793217433764
2013-03-13,9.757599104737723e-05,-1.762335089587626,9.579465892599824,-0.008722692146973188
2013-03-14,3.1794401727537575e-05,-0.056370210423228546,3.574954790546209,0.011200775447601785
2013-03-15,6.136528565119658e-05,-2.80555583132044,15.032557743362874,-0.00953340513338885
2013-03-18,6.805085408423994e-05,1.4122959717539132,4.817503568582143,0.015087493530024254
2013-03-19,7.731651205368717e-05,0.7787077318994707,6.212107231719552,0.004094333721842425
2013-03-20,4.134005855789424e-05,-1.4871572033270046,6.6015076004402475,-0.007175897086273864
2013-03-21,6.616665579840339e-05,-0.28369302329568263,4.072902052233587,0.00410666165465301
2013-03-22,2.6928060892038025e-05,1.5241853404562216,8.596386838271782,0.004498107938139206
2013-03-25,7.593995910220764e-05,0.5599109267710641,3.848870178465662,0.002852017022541009
2013-03-26,2.5463564949490516e-05,0.9660244223688257,6.596646679877964,0.006488270391762363
2013-03-27,5.545089303352375e-05,0.09806147261829694,3.8404342988209352,-0.01097364161001213
2013-03-28,3.6933833412702735e-05,-0.4479597180878531,4.85029431716225,0.004281839624355133
2013-04-01,5.529285818959261e-05,0.7560682055182583,3.6087113265880095,0.0014232662248505612
2013-04-02,6.938450130361582e-05,-0.23928450495274647,4.289417504648616,0.005672716843129422
2013-04-03,0.00010402832134993886,-0.015205039675276324,5.658996124340715,-0.010356599754631546
2013-04-04,8.775939781273822e-05,-0.20070473080627052,6.14285643487598,0.0063080290018526775
2013-04-05,4.439724267176403e-05,1.6610303249396734,8.95459330564286,0.00525965417039842
2013-04-08,4.533974643556224e-05,0.5211630303810875,3.849803131477648,0.007819375880410373
2013-04-09,5.147659756962874e-05,-0.5385270483583661,3.342717663136551,-0.001416929117863841
2013-04-10,3.8371104880061134e-05,-0.13096961107553484,9.215462594828992,0.010078920554776438
2013-04-11,3.903267104052096e-05,0.9975967330180617,3.9815578461090317,0.012951897013770086
2013-04-12,3.378662450999183e-05,-0.3767506900379286,3.4552148638776936,0.006905410997395833
2013-04-15,0.00010712996307774018,0.20614301369043855,4.818446494991678,-0.004334805631693417
2013-04-16,6.914825389996833e-05,-0.039173461634892444,3.9396231474147188,-0.0035609371256830613
2013-04-17,0.00010064346818997571,-1.2513507209858712,5.378925733562499,-0.018400361889406636
2013-04-18,0.00020544705529020014,0.6718595223654289,7.5120335745801174,0.02727882218514166
2013-04-19,7.409948850013399e-05,0.6156806228461456,2.602230891540526,0.025980652199490528
2013-04-22,4.5720944310531696e-05,1.2795232629158924,7.36437408899798,-0.0011492558469377023
2013-04-23,0.00026106103590628444,0.21552949167750698,25.15494638251357,0.0024880551884223223
2013-04-24,8.486271185466503e-05,-1.9255910387193305,10.059057335109664,-0.009988766058512066
2013-04-25,0.00010656446384415208,2.5940255118354143,16.415486322590077,0.027044110344262684
2013-04-26,2.647414365408639e-05,1.2842810215839375,4.098349395861624,0.00767446046732978
2013-04-29,4.193277938787555e-05,0.3614458608272928,4.0194862210271385,-0.0031749319573961543
2013-04-30,7.950111816872648e-05,-0.3291778993738708,8.381244683169161,0.0083821511461033
2013-05-01,0.00012313561830495204,-0.98933935857556,4.622875787739761,-0.028409182768144525
2013-05-02,0.00010225345979114232,-1.2398091160370384,12.959680049549124,0.002477741564678393
2013-05-03,4.876543938123119e-05,-0.04347647633374321,5.6044443303166505,0.002851476915645801
2013-05-06,7.318970286879777e-05,-1.2522910205226037,6.027370166845251,-0.012031192063661322
2013-05-07,5.0105668940148556e-05,0.6514409501476892,3.1765630010494816,0.016576831928752256
2013-05-08,4.317682596448038e-05,0.12515195703067594,3.6262817786257715,0.0035837795777444725
2013-05-09,5.0365818719932286e-05,-0.015300936094875399,3.3975726700874183,-0.007560324408618424
2013-05-10,8.265226810913524e-05,1.3349000525175339,11.349291044713278,0.0034092633337809986
2013-05-13,3.935784612161421e-05,-0.4160321168917365,5.2317023521244685,-0.006449201296683249
2013-05-14,3.425342778367007e-05,1.2810300033935216,4.13748989542514,0.011729364551392951
2013-05-15,4.357814806695067e-05,0.6402379441153953,3.8818882322973414,0.008054546723527789
2013-05-16,2.790698117619662e-05,-1.135745791418597,6.717568327582563,-0.007490601600700586
2013-05-17,5.534875946158197e-05,-1.5826079883784148,9.139619429455982,0.002815523006454157
2013-05-20,3.151017520433434e-05,-0.575643845128513,3.2179754953884387,-0.011499770545525312
2013-05-21,7.912894573544051e-05,-1.1323550085869785,4.841442396647721,-0.01278517246230404
2013-05-22,0.00014697025989733454,0.7193682433792888,4.7577816092536205,-0.011589755908287369
2013-05-23,6.853209117098446e-05,0.5820617047346491,3.0244418090390015,0.008126973314440011
2013-05-24,4.34663423802282e-05,-0.21404229645046963,3.028359183745548,-0.009682442212578302
2013-05-28,9.38004211627241e-05,-1.8684816529940447,7.832632047093566,-0.01115384739222236
2013-05-29,0.00014270201288099277,-0.12869070620912812,3.9813383029851743,-0.02490397767413599
2013-05-30,0.00012600111995246556,2.6893550239884885,16.943926162414368,-0.009934243194731351
2013-05-31,0.00015883843869086693,-0.09330608811745986,3.377691371586434,-0.012300071435066506
2013-06-03,0.00019796568516334092,-0.4542638012521557,5.80773712918628,0.003706075830158806
2013-06-04,0.00019066461751011463,0.9709634473550732,5.798053835944676,0.0036921121340185437
2013-06-05,0.00013104078276217031,-0.4879863519594506,3.5457559675370645,-0.01111815263559457
2013-06-06,0.00011878874349994343,0.9251515716841946,2.7678803963987955,0.03399131578754
