,INTC_RDVar,INTC_RDSkew,INTC_RDKurt,INTC_DR
2013-03-05,8.945837488887413e-05,0.603134547955374,3.573641307339586,
2013-03-06,6.885437916354557e-05,0.7993192644087833,3.7369450787023357,0.011095605206609349
2013-03-07,0.0001440729472783423,0.35423735077451335,6.037099970147113,0.006416372485436916
2013-03-08,0.0001627402697206273,-1.2378446948599418,5.987440574436063,-0.014262851007845967
2013-03-11,8.710208912444717e-05,-0.07688894523923484,3.9168989995251993,0.005084151565365236
2013-03-12,0.00014109979079645588,0.1913903217060458,3.937550555182449,-0.002307872355246765
2013-03-13,8.698990393516034e-05,-0.5308477034243634,5.336325219081779,0.0009238421784161233
2013-03-14,8.282591428987182e-05,-0.890103017638194,5.645258829980249,-0.0004616253684659455
2013-03-15,9.567418777646845e-05,-0.4462514378131525,6.39669342675088,-0.012549554308181055
2013-03-18,6.991255917982608e-05,0.2608267329210704,4.344411572473146,-0.0056285901535630956
2013-03-19,0.0001205524750907042,-0.3333379446493827,3.9542013778533978,-0.005660450594635158
2013-03-20,8.619472435175162e-05,-0.1629394143614853,3.196873537257044,0.0018906368186675238
2013-03-21,8.173713658900808e-05,0.5700529683327632,3.06642612644869,-0.006632065292392575
2013-03-22,6.885796790455885e-05,0.46145598075151917,3.226624744844495,0.013688766160613763
2013-03-25,0.00010848180677854747,-0.6641560250315859,3.9579360669572554,-0.008474357088275486
2013-03-26,5.9420830331089005e-05,1.019854309941009,3.6863727298031224,0.02889298392508488
2013-03-27,0.00011968243856637297,1.3127279394912539,5.4271307620574225,0.00275224307934252
2013-03-28,0.0001001651093017303,-0.22434914522007535,6.626183201924897,0.0004580341002999866
2013-04-01,9.892038017037944e-05,-0.7447984266418011,5.018434260406028,-0.018951459739272813
2013-04-02,7.572928352092042e-05,0.27289268498105496,3.843069205127617,0.0013990375326211613
2013-04-03,9.700129817482805e-05,-1.2412030031627168,4.839031364153764,-0.019290075526719352
2013-04-04,6.71191712703232e-05,-0.017457948221790597,2.3374367123191755,0.004266256030030391
2013-04-05,6.406646153536332e-05,1.2109825932964895,4.24744694917546,-0.009505612758682336
2013-04-08,4.2600705223688764e-05,0.5487101116723168,3.2086953227890276,0.007137736384271509
2013-04-09,0.00016594260566781135,0.9130582056036539,4.4071949905048635,0.030814453933130537
2013-04-10,0.0002495883567440105,1.2077854217123527,4.951415600959213,0.023177763147051333
2013-04-11,0.00025844372210404135,-0.07442716058226158,5.086632111037225,-0.019506133102730416
2013-04-12,0.00012603202418103076,0.1343514696214255,3.3793843148339167,-0.00689488982581743
2013-04-15,0.00021607703068564536,-1.0856733174725217,4.549931945615005,-0.013934277029024944
2013-04-16,0.00013429679806817635,0.8244791302549321,4.07807089060049,0.024943460572086185
2013-04-17,0.00018891867168431342,0.07440616607537026,3.452887414596062,0.00045578067040619175
2013-04-18,0.00017089877944301382,0.8733462208751475,6.2218949680737605,0.01403712915319133
2013-04-19,7.19238402904334e-05,-0.23111491349412663,4.730258034309022,0.008952877438507478
2013-04-22,0.00019829618994436873,-0.3788921121089414,4.081799399195449,0.0194179906586478
2013-04-23,0.00040117630866550564,0.4054211902090225,24.446413509191657,0.02161784938249811
2013-04-24,0.00010095151369761358,-0.6535678018274085,5.789802891496869,0.011904808397913857
2013-04-25,0.00020631931863770628,-0.028059980593700216,7.208445687783927,-0.011904808397913857
2013-04-26,0.00010232027769846536,0.12000683719917592,2.7831517539212305,0.0008548168074904439
2013-04-29,8.71105282772926e-05,0.85475856913774,5.63393635774975,0.015267531187244998
2013-04-30,7.123554692172055e-05,0.3090700381432585,2.2769207018089115,0.007964687577661778
2013-05-01,0.00018673651206006032,-0.4203168381364439,7.525683757085578,0.0016689491833163927
2013-05-02,0.00019937153500821107,2.6357170222423947,22.249627824447963,0.004989666509332302
2013-05-03,6.305540533996716e-05,-0.5720774178906485,4.3191975540105965,0.003135166231005737
2013-05-06,5.7237371464063544e-05,-0.9064601451827103,5.012057820336857,-0.002089099047331011
2013-05-07,9.084868147295034e-05,-0.29924790108583543,6.829159676081994,0.009987437935546684
2013-05-08,5.7255849379494e-05,0.3839567243419042,5.227447236854159,0.004132306614684111
2013-05-09,0.0001515040486714492,0.8486264149194916,4.566385120589858,0.004526057990345667
2013-05-10,4.796801571718941e-05,-0.36371417405680606,3.182963898789543,0.005730542102415637
2013-05-13,0.00011178893140054757,-0.8642260582404061,5.29738028499188,-0.017291335197214597
2013-05-14,0.00010616529588663599,-0.7178649624148098,5.844839666423831,-0.010016613744983083
2013-05-15,9.908938426365819e-05,-0.39233190072690605,4.558788903668226,0.014987401837316394
2013-05-16,0.00010830828844724914,-0.8393943019104748,5.276497446706569,-0.010801572523289504
2013-05-17,5.9827612401562066e-05,-0.387751038296679,3.8982237333618452,0.00416823659690424
2013-05-20,6.79116424372461e-05,-3.394172620457145,21.283806218595846,0.0016625478340519528
2013-05-21,6.90794632209884e-05,0.06691308448111256,3.8739034288053875,0.002902428489769182
2013-05-22,0.0003245402831041254,0.6479263639935369,6.820083992303092,-0.003317962800159613
2013-05-23,9.877895296194138e-05,-0.20822451787690544,4.599034316709906,-0.0008313943198681173
2013-05-24,8.320671623976571e-05,-1.0376910327767075,5.225969800548559,-0.005419766428433004
2013-05-28,0.00010975632217318331,0.2501817491720901,2.777261630499868,0.006666695058691552
2013-05-29,0.00014435069349925426,0.26185228531007315,3.6113856765814187,0.00785932308461712
2013-05-30,0.00010133786428360322,0.9335589153140114,7.103842104903842,-0.002475375950065306
