,RDVar,RDSkew,RDKurt,DR
05MAR2013,4.818790417729811e-05,1.3273342759411455,7.0356145136420345,
06MAR2013,2.7266149192652837e-05,-0.3813918622914194,5.266199205663302,0.0020088320529589865
07MAR2013,2.3717317887028017e-05,-0.4515575825941724,4.147775672895345,-0.0011472215820571563
08MAR2013,3.2733043879888526e-05,0.07882399868313801,3.727082041912109,0.011129765317921425
11MAR2013,1.8224741039927033e-05,0.07512048811717544,4.709980999825266,0.0009453968981940619
12MAR2013,3.3975681832685214e-05,0.03863300212979297,4.218459639379755,-0.006447466478444852
13MAR2013,3.2251513330245844e-05,0.09639223132259031,7.712306748881157,-0.0003804156591860064
14MAR2013,2.1319032879806097e-05,1.4440325566851133,5.577414562607178,0.008810599801231334
15MAR2013,3.484562778998077e-05,0.48021109821211905,4.450622675523307,0.003577618816065886
18MAR2013,3.634275716610039e-05,-0.366531735669176,3.9660823169047394,-0.009347877095669865
19MAR2013,6.544844051064914e-05,0.4537529040618044,4.6004706270831495,-0.0021844701289897017
20MAR2013,5.071582238850397e-05,0.45898634992958287,4.835980885074466,0.004553617428055823
21MAR2013,3.8496150270642804e-05,-0.6926945418813266,4.401019140176849,-0.0068378543476077525
22MAR2013,4.421122218039691e-05,1.758841292614418,6.3827961330683625,0.014004669878728393
25MAR2013,0.00011574970396545926,-1.2776206508419023,7.915522422621094,-0.011815531793291534
26MAR2013,1.5907958060106572e-05,-0.12557502333819967,2.9818401023526526,0.008521377757292115
27MAR2013,2.1110283331617197e-05,0.31773959957281106,2.7038182296897593,-0.007380777477702161
28MAR2013,2.522308404034117e-05,-0.23695393419861846,4.355286093034221,0.00964070706997866
01APR2013,4.322854186672034e-05,-0.7011648259114971,8.277992953904583,-0.006227503685631852
02APR2013,3.319416384290325e-05,0.0787490241553179,4.8147121845283,0.008200990430435873
03APR2013,5.687908213043006e-05,-0.6956602360989985,2.9842145954786923,-0.007917081093491873
04APR2013,7.266681423135248e-05,-1.2829515316895532,9.555259181162008,0.0013238455093924628
05APR2013,4.484866831196693e-05,-0.04220467879889153,4.4125674672252355,-0.0003780948017597652
08APR2013,4.341437318857985e-05,-1.2647182827159287,5.721481986987712,-0.0002835661670648193
09APR2013,5.192330859242854e-05,-0.3338367079296438,4.358833827366971,0.001889517359559889
10APR2013,3.0412847531059734e-05,1.3957237601825578,4.947397472141638,0.01628963234108305
11APR2013,3.86665787218082e-05,0.5629304339186941,4.352877602076918,0.005186355529395392
12APR2013,4.4742892917083087e-05,-0.34119981215085593,2.8754734269629365,-0.0052796467018136894
15APR2013,0.00014624980783398096,-0.6328687962190261,4.262346727773462,-0.017991430756048032
16APR2013,3.696748609609866e-05,-0.32672547791960305,4.816085444643176,0.0036811178730040695
17APR2013,9.851828260942328e-05,-0.027263547984831007,6.721290981408524,-0.006331833522530417
18APR2013,7.760313932989815e-05,-1.1024680655413839,6.322048687935049,-0.00475186373262293
19APR2013,4.933449174300547e-05,0.29240045596376607,6.579366437847458,0.006929966749438243
22APR2013,4.190489160181161e-05,0.06874958677340758,2.909536191463378,0.0008510244352448737
23APR2013,0.00015080649372427416,0.3210130711595227,18.447534693072683,0.014916337877988184
24APR2013,5.521774586566348e-05,-0.5186328541341031,2.8398098378070693,0.004459875176714867
25APR2013,0.00020291087187505067,-1.2253407098738474,9.01130200004731,-0.028109917928774486
26APR2013,6.004102984878419e-05,-0.9026201746163607,3.0269504379264096,-0.010447372412467182
29APR2013,6.438458440575773e-05,-1.187120326102136,5.72502390195934,0.00038534272849233275
30APR2013,4.697036697275596e-05,-0.18508691717381837,4.332064095506377,0.008439842935734632
01MAY2013,3.121855372324565e-05,-0.48926512206595496,3.94067828991544,-0.0015293882653759638
02MAY2013,6.924382602328437e-05,1.658361354105449,9.066619043547012,0.014151055242477284
03MAY2013,4.7088208067224244e-05,1.3583630000752636,5.399461346376992,0.016739603037378536
06MAY2013,2.498564881116194e-05,-0.4653225929922112,2.8416424386929435,9.243882030940398e-05
07MAY2013,2.7555929370454522e-05,0.25211608357925064,3.8640027932326513,0.0015754548354287579
08MAY2013,1.3155835073811164e-05,0.02580864493987162,3.4789453127065935,0.0017574146570931148
09MAY2013,7.76652216872137e-05,0.5040067701022096,4.544542240216196,0.01577143574139317
10MAY2013,4.834354232532322e-05,0.09052804410424828,4.044361791188017,0.005081722629143748
13MAY2013,4.2452209667716e-05,-0.028797512470792503,6.327012455533178,0.00018105860770489812
14MAY2013,1.625038704444925e-05,-0.0641362955230356,2.9533675261464647,0.0008142306569443036
15MAY2013,3.810360479010698e-05,0.48483224679347064,2.707252919650543,0.008194917147716474
16MAY2013,2.549198727783874e-05,-0.1793747822566167,3.9575397945381683,-0.003864128593230376
17MAY2013,3.7884166132737773e-05,-0.2323572210041479,4.71724024546389,0.002876885218798364
20MAY2013,3.665488713731431e-05,0.012627389525375001,4.486962679142277,0.0029584066527972297
21MAY2013,2.6015470609117384e-05,-0.4650873772957009,3.521256532039973,0.0025923090715247454
22MAY2013,9.67887887147949e-05,-0.3469412422877841,3.4450892483285527,-0.005266343041252952
23MAY2013,6.536168611677482e-05,-0.1756361837759983,3.621812286434078,-0.003435974532163044
24MAY2013,4.616127034311329e-05,0.13974786848851908,2.35066917159409,-0.0012687161568099015
28MAY2013,5.5307978794794975e-05,1.8591119765687547,10.113861197662548,0.011899532149060477
29MAY2013,3.952290709120281e-05,0.34221754218405587,4.585984000435693,-0.0041306599708921254
30MAY2013,3.811544282291741e-05,1.7140714393532377,11.200515383128097,0.002606133929356602
