,CAT_RDVar,CAT_RDSkew,CAT_RDKurt,CAT_DR
2013-03-05,9.092600638630588e-05,-0.3731441757596469,5.193155951569416,
2013-03-06,5.556201087702134e-05,-0.6184616104873553,3.1863800950987233,-0.006338646756828936
2013-03-07,4.8984225047519076e-05,0.6632497112730698,4.753304448751313,0.00011156229812669949
2013-03-08,4.6700684427062256e-05,-0.3915222590554361,4.853413897155617,0.00954720102519424
2013-03-11,5.6929918725654604e-05,1.0146394831331005,6.46770553263074,0.007375159565532918
2013-03-12,9.385238306046206e-05,-1.8393717495746935,10.091722905433711,-0.015918950957849454
2013-03-13,5.5560621185909124e-05,0.4897119103403359,3.8844498927687114,-0.00513909340892571
2013-03-14,5.1449713868249644e-05,0.8937526057148836,6.365197381909205,-0.006517617414284693
2013-03-15,6.635252268410968e-05,0.7431127442006851,7.808259803115504,0.0014643716389306505
2013-03-18,9.388697598611825e-05,1.7509838799603028,11.036968501388877,0.005948821198385801
2013-03-19,0.00011308384572285011,0.527841454357856,4.773305702321447,-0.012272660838303473
2013-03-20,0.00013127171741627588,0.25825513826775565,3.934274940436552,-0.015182135964905363
2013-03-21,0.00011419283599690326,0.7875848012588745,7.389797919867156,-0.0012661683568682136
2013-03-22,4.733160004692435e-05,0.743913274462088,5.4170831777420805,0.007458140850306272
2013-03-25,0.000124284529443434,-1.05112288901964,4.9084204326005025,-0.009648658210961614
2013-03-26,3.341942049297476e-05,0.5513968103878292,5.64497675562227,0.0041463920649125185
2013-03-27,5.3819172164054905e-05,0.5094957033559467,2.8269344985810734,-0.001149797461252433
2013-03-28,6.369011516408143e-05,-0.29272244242598283,3.2355112346391257,0.0008052125105058039
2013-04-01,6.330321339015678e-05,-2.9098361358782108,15.628992608294702,-0.015411035665660933
2013-04-02,6.109404291473579e-05,-1.5610885100552852,8.11007361481327,-0.008914025660322622
2013-04-03,0.00016651641057884695,0.6009373696834248,3.6218131755728353,-0.00899397793572998
2013-04-04,6.538102878927411e-05,0.6863801338528481,4.886479862588381,0.006044457610300924
2013-04-05,0.00011116865169925789,1.596639618091866,5.590766895408722,-0.0003545549080818944
2013-04-08,0.00015271882600272264,-2.847558567562273,16.46478851980341,-0.004858299148859047
2013-04-09,0.0001133392107016503,0.6676443684942323,3.561220037401934,0.020107918892526833
2013-04-10,9.214567640341835e-05,-0.3234563681402704,5.6539971748221705,0.0077694288620895335
2013-04-11,0.00013149699636786662,-0.0684121621248447,6.272610108254903,-0.010100788970379249
2013-04-12,8.568976087188554e-05,0.717954922744439,4.454046964467438,-0.0076132143651967965
2013-04-15,0.00016870672374788985,-1.2908377356658374,5.520749986224473,-0.03323306573364704
2013-04-16,9.327616898321572e-05,-0.4953223168267167,4.671796290074311,0.004124616749313859
