,RDVar,RDSkew,RDKurt,DR
05MAR2013,6.719415992469078e-05,-0.2513758959622004,4.299222829277324,
06MAR2013,3.356356740116799e-05,1.4968499370665331,7.392798026696427,0.008751669889272229
07MAR2013,2.4879165711543002e-05,0.1735567484755696,3.3539726660866505,0.002559431748556218
08MAR2013,4.752578377295541e-05,-0.8201583921279814,4.5035043714777245,0.0025528977773761063
11MAR2013,3.570684688434244e-05,-0.01892319694139374,2.8005695720285293,0.002292153910932626
12MAR2013,4.5356816834534105e-05,-0.23915834479379472,2.985152706624704,-0.008943353240272067
13MAR2013,5.255395127963968e-05,0.220349493199412,6.216167664684423,-0.002329447971845866
14MAR2013,4.8257878038111106e-05,0.06510180475236634,2.185818016900933,0.011080966735803166
15MAR2013,2.060502347179106e-05,-0.6872098227622875,4.580830157568054,-0.004881063284561282
18MAR2013,4.5451999644911786e-05,0.8896064827430574,4.8240737690576205,-0.0018044108851067442
19MAR2013,5.5851439688017425e-05,0.8027541188208551,3.500741758477756,0.014598954320493629
20MAR2013,4.6973202096481544e-05,0.2587386949208372,4.10268206066404,0.013636183101242594
21MAR2013,5.877197423044436e-05,0.44937479183776813,4.339498587999635,0.00500392691954854
22MAR2013,4.893866936744209e-05,0.39935106316228014,6.3531927202724905,-0.0007490428711682817
25MAR2013,5.589768418735319e-05,0.4027407448759302,4.1334113327287145,0.001995939673171687
26MAR2013,3.467786348368611e-05,0.5817979591448661,3.0836045494703224,0.014107551652753791
27MAR2013,4.720185709993554e-05,0.1652908135249747,2.8825931425868174,-0.011618092573939087
28MAR2013,8.377712411312311e-05,-0.7297227845074603,8.279073819224688,0.005455190760025541
01APR2013,4.502401519847506e-05,-0.9392433531542812,7.680560891746708,0.00024689721034798495
02APR2013,5.377808407391432e-05,0.038711332203216375,3.2336494940413067,0.00665331619249887
03APR2013,7.275284422533803e-05,-0.7490153553977745,3.7111272940813165,-0.0135994027253874
04APR2013,6.554312549156764e-05,-0.579448414431252,5.545673665093194,0.009168655651393465
05APR2013,4.180682725661338e-05,0.1644257755223368,3.8273637892531243,-0.011411485839831759
08APR2013,0.00010831872956282315,0.271038725180301,8.014046169617309,0.019274237142177686
09APR2013,9.947890568865062e-05,-0.07060731297894114,4.053626990894993,-0.0036778389259768396
10APR2013,6.0558781423990285e-05,-0.6211262283142346,3.8901194648800126,0.008803932083547128
11APR2013,5.915083419472102e-05,0.10986795341404548,3.0571912773087115,0.0026751183554760694
12APR2013,9.528460778186239e-05,-1.2489265556369091,8.564014348356894,-0.002431352746581794
15APR2013,0.00020577472078423838,-1.1787045959666247,5.4678929148158915,-0.024394747789482363
16APR2013,0.00023397854904684217,1.4388660456173166,5.3434746041280174,0.055313864833058446
17APR2013,0.00011052869888112018,0.591830997426165,4.40810871365629,0.004239067689256082
18APR2013,9.827246691568205e-05,-0.6719407393184494,4.42822844017218,-0.010632012681091485
19APR2013,9.534601717928036e-05,2.5461279178831235,14.47475649781879,0.013214011385278557
22APR2013,5.419080417677941e-05,1.0803916977761645,4.432107424068402,0.0014055356252273832
23APR2013,0.0002299431890728878,0.022395381037068004,23.770659953715192,-0.000468155374207857
24APR2013,6.751038242398026e-05,-1.0111550032482302,4.110366908226716,-0.012964277270118174
25APR2013,6.951337494313581e-05,0.014900946174861677,3.5180122473711934,0.004733613695460992
26APR2013,6.206075019651717e-05,-0.07355421395816218,3.968452902378476,-0.005920728061640901
29APR2013,4.165352636190845e-05,-0.17128864548305653,3.7309392305313844,0.003319915490499703
30APR2013,0.00010239639926598674,-1.2522064959921704,6.5776539732150185,0.002128676651794059
01MAY2013,6.745492779722066e-05,-0.45259771773624524,3.3128899369580775,-0.0028390311209820496
02MAY2013,6.93236017012561e-05,0.3033855273882218,4.110863099207118,-0.0059406187434478674
03MAY2013,8.353144321399271e-05,-1.1873670235854723,10.65576805473371,0.006650973212635858
06MAY2013,5.041621807342502e-05,-1.337512691859627,8.32266801273645,-0.003795078237116556
07MAY2013,3.826832952660252e-05,0.8522081750143995,3.8387823252201247,0.014626554382914936
08MAY2013,3.8176994041739284e-05,-0.7641240263108666,4.034889017892019,-0.005636487441409432
09MAY2013,6.523337923094977e-05,-0.6711485154371538,4.145540299217305,-0.00804007825569153
10MAY2013,4.956803870886535e-05,-0.466047292840072,4.2842363511923285,0.0007122884269827878
13MAY2013,3.782761820233248e-05,0.5833509256108087,3.6192048258600233,0.0009485225517082974
14MAY2013,4.747426098580595e-05,0.39540116050345203,2.108537736568878,0.007791198356118745
15MAY2013,6.876023430491823e-05,0.7995292203914676,2.883080833483721,0.009363422950147804
16MAY2013,6.658283624231488e-05,0.14985849954062105,3.761040963565952,0.0039531175358673565
17MAY2013,0.00010588712989565638,-1.1251997495796677,8.208636455002988,-0.0027889970647696494
20MAY2013,6.48673649740606e-05,-0.8360180979300554,4.050170433150832,-0.013825533092646225
21MAY2013,7.095941683704404e-05,0.46511209554121735,4.117345299840543,-0.0009443787516727475
22MAY2013,0.00011819784300824925,0.5453677548576522,4.174289592710809,-0.002127730903181302
23MAY2013,9.298582424077111e-05,-0.45349273839787185,4.626160575639228,-0.007602806400279771
24MAY2013,0.00010186609937338841,0.25806329818340196,2.631006257929714,0.007365985943027287
28MAY2013,0.00011664659567473417,-0.4381255697295796,2.860502342453983,0.007312097190591782
29MAY2013,0.00013255203438048243,-1.3498078636505633,4.703139644557172,-0.027398590674439838
30MAY2013,0.00011604179961009555,-0.05530224405796527,3.1368602252078897,-0.015334567047850634
