,IBM_RDVar,IBM_RDSkew,IBM_RDKurt,IBM_DR
2013-03-05,3.3788498758257895e-05,0.23989322416895542,3.2685082041186106,
2013-03-06,3.07743653944991e-05,-0.44580892539483197,4.480073156348998,0.008917668614947694
2013-03-07,1.8696105562973414e-05,0.5017143604897407,3.4041508272188765,0.0049786404987157695
2013-03-08,2.3142730755700085e-05,0.3329821847828694,2.910231663418958,0.004573606766431482
2013-03-11,1.893884305778294e-05,-0.4926383172873716,3.32833934254498,-0.0014270609778135324
2013-03-12,1.8703813596597693e-05,0.3282872032324826,3.089983383440738,0.002234694553628458
2013-03-13,2.7684550373208984e-05,0.3709916360204745,3.253322755259473,0.007146053616098769
2013-03-14,4.570649915661941e-05,1.6286487940592613,6.210914943644413,0.017482905003603832
2013-03-15,3.7434827058247904e-05,-0.4211658006071583,2.520259867251281,-0.004086326709354715
2013-03-18,3.750473437292762e-05,0.169817015406473,3.700874095399226,-0.007988088521371672
2013-03-19,9.591191492053198e-05,0.22744581832749067,4.272402504402469,0.0010779106161553642
2013-03-20,3.547936931268557e-05,0.051654305678087244,4.978741931017181,0.007561395292878359
2013-03-21,9.309311928265163e-05,-0.8331820229275325,4.855866250787246,-0.013105160717981512
2013-03-22,3.131484994845388e-05,0.34159044193083765,7.459401136141803,-0.0008481583514043933
2013-03-25,6.375434750075074e-05,-0.3752508003411108,4.02654872772133,-0.006338548696679602
2013-03-26,2.647514276658614e-05,1.818874438573352,11.869141926673942,0.007658065946113624
2013-03-27,4.692179154629458e-05,0.8808891695725146,4.968081175650714,-0.006946645800116613
2013-03-28,3.1242667042403216e-05,2.02801336999077,6.254487384250002,0.01136306047979918
2013-04-01,4.340251984494531e-05,-0.3279080980315728,3.203486034748926,-0.004322572566689331
2013-04-02,4.02074696254489e-05,-0.030392644274108527,5.105537708623102,0.00927979817684399
2013-04-03,7.758440003859872e-05,-0.2182398147717415,3.9565874662342537,-0.007962143334891536
2013-04-04,7.815229459298704e-05,-1.064053176198344,10.137249117110038,-0.006368323475069104
2013-04-05,9.745526626746067e-05,-0.7252257841722943,7.518044078912807,-0.009032256622840684
