,DIS_RDVar,DIS_RDSkew,DIS_RDKurt,DIS_DR
2013-03-05,3.297968526431656e-05,0.746740814136957,4.017937129987413,
2013-03-06,7.673971670945471e-05,-0.35893090864619254,4.4619185948973366,-0.0021268224619190867
2013-03-07,5.021822158413037e-05,-0.7317615643755375,4.133619244147203,-0.0007100548376866023
2013-03-08,4.783536687193493e-05,-0.15570665329239305,3.1343521868708324,0.018820402445610007
2013-03-11,3.859027365376054e-05,-0.2413785396005791,4.18274128254601,0.004693644529607077
2013-03-12,8.231102177612256e-05,-0.8026412004772352,5.1286646367122195,-0.009584528293435923
2013-03-13,5.8489190927221775e-05,-0.13119717588026122,3.230171917754999,0.00401930486029789
2013-03-14,3.7199884560874364e-05,0.3225923369255352,4.0470197905950975,0.007124833148951293
2013-03-15,4.806860442494635e-05,-0.20535592257381666,4.364070378310358,-0.002948023959514323
2013-03-18,7.441000768629828e-05,-0.10152817179598578,4.585903220358354,-0.013110829113404776
2013-03-19,0.00011655382351531766,0.18895066826615353,3.7095555719697564,-0.009192339140593475
2013-03-20,6.434643206742303e-05,0.5979137856391761,5.465697330320837,0.011125944024697354
2013-03-21,6.609610909291389e-05,-0.17451328918666018,2.6954960198728997,-0.011125944024697354
2013-03-22,7.53419265491002e-05,0.33506663100482775,4.4095140216021536,0.008311941981132165
2013-03-25,9.022536238919074e-05,-1.0712546725360999,5.145965101729487,-0.01008939449661872
2013-03-26,2.912471828901941e-05,-0.32631762630130123,4.367655993594962,0.007444185115443425
2013-03-27,4.415508234192082e-05,-0.17377741865921775,3.8476168742558725,-0.002829428098026554
2013-03-28,6.113545222806301e-05,0.5245924308695156,6.657309388601277,0.005826889360341703
2013-04-01,7.833730819518272e-05,-0.9117332108841366,6.845574789989712,-0.0019386018648424042
2013-04-02,4.358543917046672e-05,0.4471336646847103,3.484148493160949,0.01349114758623804
2013-04-03,5.531732912498079e-05,0.08649476829544372,3.3478924994043875,-0.0036613001215832774
2013-04-04,6.916250376424698e-05,0.7741237591889044,4.97471533348264,0.0059212745777754705
2013-04-05,7.984531525738498e-05,1.094191637055528,4.61473135223356,0.0019082606632903065
2013-04-08,9.907777405578224e-05,-0.2750700338752303,4.557103035539234,0.01922484203593644
2013-04-09,3.1626009644498726e-05,0.8370872067977748,3.5567188066087683,0.005425482823550709
2013-04-10,0.00010566546174164199,-1.0918918395597486,12.175405411989063,0.01626875255891047
2013-04-11,8.665724518316314e-05,1.7675201673426921,10.97971549378917,0.007293220429203551
2013-04-12,6.201013855972284e-05,-0.35471414424802117,5.85740854173531,0.0
