,RDVar,RDSkew,RDKurt,DR
05MAR2013,3.3727019092753614e-05,-0.6365784038993777,4.155945382579862,
06MAR2013,4.8437525939829825e-05,0.4585890410914606,3.8257009844172822,0.009893138879755625
07MAR2013,4.34002329098832e-05,-0.2641340360984727,3.162818624866375,-0.009430702671991309
08MAR2013,5.681227355504586e-05,-0.5866922609298257,6.217304287802082,-0.00695735956826482
11MAR2013,3.553274745700661e-05,0.9770685413059484,2.743735749210009,0.015930184884739074
12MAR2013,8.522754881607433e-05,-1.4146900684813513,6.876006804850551,0.03111877188521328
13MAR2013,3.494976013433133e-05,-0.6273682811068911,4.573647330940814,-0.0004484993574731533
14MAR2013,0.0001391199290261733,-0.8320332895719041,5.887479781290745,-0.007202500546788393
15MAR2013,2.6033893376403924e-05,0.40914437450252333,3.453780110029085,-0.004074075845056591
18MAR2013,7.00365357386078e-05,1.655680789543934,11.662147509504493,-0.010488177561770673
19MAR2013,3.441006116956415e-05,0.4249385295712109,5.341343472918611,0.001603186501383913
20MAR2013,2.2457623675808797e-05,0.26115698320038316,3.369111421429891,0.009564904522561868
21MAR2013,6.48544839050887e-05,-1.255885175754406,7.532741750222985,-0.007507625731841827
22MAR2013,2.756732452918602e-05,-0.5338610167744405,6.3137777816320835,0.002508702836762744
25MAR2013,7.2372977243375e-05,-0.8631765419180516,4.808280451941222,-0.004794943129771578
26MAR2013,7.84823793584859e-05,0.4567776181065573,3.1338581958490095,0.015894834018120196
27MAR2013,3.537408047445522e-05,-0.9594262401279998,5.735414921143671,-0.006554316538280869
28MAR2013,3.7094460612332646e-05,1.2615334788894423,6.395206569646235,0.0022650888095236965
01APR2013,5.242429958460553e-05,1.498637817410717,5.557338573242897,0.0033879230867301935
02APR2013,4.842328239100236e-05,1.3051134496005594,5.32383210897361,0.01254760261503396
03APR2013,7.871752440586973e-05,0.24119266309513637,2.72708567911025,0.00997044294589644
04APR2013,0.00013330086619162972,-1.1195374134718594,6.454659534942328,-0.0008823328981328871
05APR2013,4.497457348383695e-05,0.08450707938339437,2.931141340458183,-0.004200919559969485
08APR2013,4.125298366301258e-05,0.7549883361423716,3.638048405259643,0.00772502160135069
09APR2013,8.607286174742427e-05,-0.7543953036816959,3.816330368810512,0.0006594500319567764
10APR2013,6.216003867177658e-05,1.2832054792956522,3.3161134120191624,0.028805322879022377
11APR2013,7.05374950805658e-05,1.154947387918227,5.336432091247688,0.007868320041501065
12APR2013,4.8667690820819155e-05,0.612823248198148,4.499031069755743,-0.0021202448066204305
15APR2013,0.00013102696559256932,-0.18819084437982508,3.481273570200411,-0.01389370472880369
