,AXP_RDVar,AXP_RDSkew,AXP_RDKurt,AXP_DR
2013-03-05,9.155396671114715e-05,1.4734113845593182,5.242530735972874,
2013-03-06,3.721723704845049e-05,0.1409180201351723,2.6546074699946645,0.008231903134116259
2013-03-07,4.1640530543253e-05,-1.0722817811288432,5.143712484512214,-0.001393380511713893
2013-03-08,8.06765486618965e-05,-0.03438651265976692,2.803615127985674,0.00216642114310428
2013-03-11,3.43074265657965e-05,0.5034583052397144,2.6787789224289393,0.012288685877217098
2013-03-12,5.762292901463614e-05,-0.2828224448987297,4.700278021728739,-0.003211026793156435
2013-03-13,4.448476522305224e-05,-0.44044840386507306,5.003040227080957,0.00015318945782283322
2013-03-14,2.138638470533871e-05,0.24438989104121472,3.405008145549734,0.0012243098259778762
2013-03-15,9.543311532127344e-05,0.9505896719116934,4.774049743680002,0.01080100752166846
2013-03-18,8.82655515951281e-05,0.9896913356495526,6.722229602098675,-0.004701515111660726
2013-03-19,0.00011141496251814891,-0.6588135286770075,4.9791176649795394,-0.009930526642468074
2013-03-20,4.5254245606733564e-05,0.6185420523480109,2.679003579347943,0.013269546343916083
2013-03-21,4.260549715359046e-05,-0.16565575608155184,3.001195190554509,-0.008979646498353588
2013-03-22,4.157359325132507e-05,0.7722034637233003,3.968493393399062,0.012307408125820096
2013-03-25,0.0001097158219969153,0.5635052964894863,5.696845530384736,-0.0018139959812781825
2013-03-26,5.4588662889323924e-05,0.6910086338910877,6.96823894966771,0.01605814020798846
2013-03-27,4.893890471372745e-05,0.4708284647870401,5.780375023043925,-0.0002978228880916589
2013-03-28,2.4751353900513706e-05,0.20037731978955328,3.302299956954756,0.004605878607486069
2013-04-01,6.206505274921546e-05,-0.2520624412248817,3.575052735838032,-0.0029691650604926068
2013-04-02,4.40764263069779e-05,0.04788541735799239,3.4351733198530656,0.005633810983473708
2013-04-03,7.655726895775947e-05,-0.4206809373438073,3.411541894221342,-0.017802958420886306
2013-04-04,9.232681479169387e-05,-0.47946439291913306,7.2716495234162055,0.007219272193009552
2013-04-05,0.00010571027263283774,-0.28575874261774564,4.422925923118096,-0.021662470422377567
2013-04-08,4.809321179886375e-05,0.09634830518151846,5.039357435137173,0.004583518263770792
2013-04-09,2.5370570758192536e-05,-0.306991046278456,3.3349463255794887,-0.0058096300369294696
2013-04-10,1.6951775362061446e-05,-0.0444674040043199,4.293165058480406,0.0027562101891298596
2013-04-11,4.445825038416027e-05,0.8591373572229258,3.9162365737701097,0.005185332026635514
2013-04-12,6.896275000856069e-05,0.20880909438895545,3.449594199503965,-0.00091319244224497
2013-04-15,0.00014005554965585668,-1.834714524724381,9.537042401231144,-0.024350100728712576
2013-04-16,8.232477688409398e-05,-0.12139868511125784,2.7598859268016627,0.007615245836812612
2013-04-17,0.00015462797257608467,0.8159983825237653,4.993190975679202,-0.0071473158778010415
2013-04-18,0.0002344967705582378,-0.04237481562983749,6.832345428311188,0.01409022383981906
2013-04-19,9.953906879996129e-05,1.2560524507903699,4.84038758067308,0.033265686348054935
2013-04-22,6.831802120086342e-05,-0.8043082303541134,4.075246163935263,-0.008663161081264192
2013-04-23,0.00027137079297162326,-0.9730250721985567,28.742831842119006,0.01178150988621951
2013-04-24,4.791511212823125e-05,0.6726523073668668,3.0036600166870495,-0.000445067461452453
2013-04-25,8.853949730274842e-05,0.16613210651109278,3.564116373358096,0.010475984703970376
2013-04-26,9.511237873520476e-05,-1.972379092939639,10.517058417220015,-0.005593002043235096
2013-04-29,4.821443816974063e-05,-0.05995553002515133,4.669569082577513,-0.001772946014607868
2013-04-30,6.364119313845999e-05,-0.6604085465946723,4.31752035051538,0.0114676129942195
2013-05-01,6.483870277180523e-05,0.5034084367206094,4.82817016981262,-0.0019020629090436003
2013-05-02,5.3609584637159635e-05,0.44640620359306504,3.9717963792126216,0.01598140298529316
2013-05-03,7.719971387458215e-05,-0.1484731510832601,7.853428200037701,0.01217724299232259
2013-05-06,4.95042365892063e-05,-0.7738806868713818,5.662916199535567,-0.002423822739895165
2013-05-07,4.1210784376674174e-05,-0.08033497989206025,2.4275827805382812,0.002565755454075891
2013-05-08,4.558173524117229e-05,-1.022598890650234,10.722958555004924,0.0009963650502315957
2013-05-09,5.782218794439012e-05,1.1463025036511012,6.879738616525843,-0.0014232770652720106
2013-05-10,7.255507926707145e-05,1.6437198887118,10.945165438088129,-0.0018530246168815268
2013-05-13,6.253371244876598e-05,-1.8957693001938287,11.01179133222911,-0.004147137202492601
2013-05-14,8.551244515493825e-05,2.0178692856921754,6.789794087561767,0.02434699683107766
2013-05-15,9.813347996997775e-05,1.1328959670539847,3.3582641351792075,0.01760364910811596
2013-05-16,7.962884466704023e-05,-0.4663281493246957,2.97056202052735,-0.007585809899715024
2013-05-17,7.789904623224047e-05,0.1329353154854414,4.421847816623746,0.014978103600197024
2013-05-20,7.492410663125258e-05,0.3830495619400682,3.054952299387754,0.014622425845481679
2013-05-21,6.234319948151182e-05,0.7957952562203993,3.874327499876111,0.009498077984550157
2013-05-22,0.00021280923480693938,-0.3125665549254659,2.9479490282982144,-0.008960386650416652
2013-05-23,0.00022406823164020708,0.32222853804195584,2.7532771043769024,0.00335266231717668
2013-05-24,6.012528043208053e-05,0.7973690072758054,3.219262114614855,0.00773513934269765
2013-05-28,0.00012277869687067757,0.12082353156844386,2.9241273495886753,0.01175490510371624
2013-05-29,0.0001456009569150161,0.12132567295618933,3.7330863401958667,-0.004342336346788933
2013-05-30,0.00018983872284902026,0.08648791613392509,5.55940859489406,0.004079760250259135
2013-05-31,0.00014518179081912162,-0.01966875753110166,3.962069002833536,-0.00566375510259487
2013-06-03,0.0002184842684462452,0.16595244350178331,3.5577952959277606,0.009988141642239157
